primaryTitle,startYear,numVotes,averageRating
Safety Last!,1923,25065,8.1
The Navigator,1924,12159,7.5
Sherlock Jr.,1924,66649,8.1
The General,1926,105789,8.1
Wings,1927,16474,7.5
"Steamboat Bill, Jr.",1928,17697,7.8
Little Caesar,1931,16127,7.1
The Most Dangerous Game,1932,15611,7.0
Scarface,1932,33664,7.7
Captain Blood,1935,17514,7.7
The Adventures of Robin Hood,1938,58001,7.9
Alexander Nevsky,1938,13259,7.4
Foreign Correspondent,1940,26285,7.4
The Mark of Zorro,1940,12039,7.5
The Sea Hawk,1940,11633,7.6
High Sierra,1941,21181,7.5
Sahara,1943,11122,7.5
Key Largo,1948,47556,7.7
Sands of Iwo Jima,1949,12492,7.0
White Heat,1949,38821,8.1
Winchester '73,1950,23324,7.6
When Worlds Collide,1951,10507,6.6
Bend of the River,1952,11054,7.2
Ivanhoe,1952,11405,6.7
The War of the Worlds,1953,42110,7.0
River of No Return,1954,14333,6.6
Samurai I: Musashi Miyamoto,1954,10431,7.4
Seven Samurai,1954,404466,8.6
Mother India,1957,10464,7.8
The Enemy Below,1957,13490,7.4
The 7th Voyage of Sinbad,1958,16546,7.0
Run Silent Run Deep,1958,14915,7.3
The Vikings,1958,17544,7.0
Exodus,1960,12957,6.7
The Magnificent Seven,1960,111385,7.7
The Guns of Navarone,1961,60470,7.5
Yojimbo,1961,144199,8.2
Dr. No,1962,197281,7.2
Hatari!,1962,15887,7.1
How the West Was Won,1962,25743,7.1
The Longest Day,1962,63433,7.7
Sanjuro,1962,43579,8.0
From Russia with Love,1963,160220,7.3
"It's a Mad, Mad, Mad, Mad World",1963,51542,7.4
Jason and the Argonauts,1963,35389,7.3
Goldfinger,1964,219268,7.7
"Faster, Pussycat! Kill! Kill!",1965,17515,6.6
The Great Race,1965,21717,7.2
Thunderball,1965,138885,6.9
The Train,1964,22119,7.8
Von Ryan's Express,1965,16298,7.1
The Sword of Doom,1966,13361,7.9
Django,1966,34486,7.2
The Professionals,1966,21067,7.3
Tokyo Drifter,1966,10672,7.1
Asterix the Gaul,1967,13261,6.6
Bonnie and Clyde,1967,127416,7.7
The Dirty Dozen,1967,84581,7.7
Branded to Kill,1967,11240,7.2
You Only Live Twice,1967,128402,6.8
Bullitt,1968,81544,7.4
Battle of Britain,1969,27080,7.0
The Bridge at Remagen,1969,11883,6.7
The Italian Job,1969,54714,7.2
Mackenna's Gold,1969,10816,6.7
On Her Majesty's Secret Service,1969,109683,6.7
Where Eagles Dare,1968,67109,7.6
The Wild Bunch,1969,94559,7.9
Airport,1970,25003,6.6
Tora! Tora! Tora!,1970,40098,7.5
Waterloo,1970,14757,7.3
Dirty Harry,1971,182262,7.7
The French Connection,1971,151774,7.6
Le Mans,1971,13436,6.7
Shaft,1971,23185,6.6
Red Sun,1971,12864,6.8
The Big Boss,1971,31955,6.9
Vanishing Point,1971,32449,7.2
"Aguirre, the Wrath of God",1972,68754,7.8
The Getaway,1972,37704,7.3
Fist of Fury,1972,37579,7.2
The Mechanic,1972,18322,6.8
The Way of the Dragon,1972,44325,7.1
The Poseidon Adventure,1972,54510,7.1
"Watch Out, We're Mad",1974,15668,7.3
Badlands,1973,85151,7.7
Coffy,1973,15063,6.8
Enter the Dragon,1973,121188,7.6
Live and Let Die,1973,125646,6.7
Magnum Force,1973,72218,7.2
Westworld,1973,67978,6.9
Bring Me the Head of Alfredo Garcia,1974,23513,7.4
Death Wish,1974,48586,6.9
The Golden Voyage of Sinbad,1973,12082,6.8
The Man with the Golden Gun,1974,122756,6.7
Mr. Majestyk,1974,11561,6.7
The Taking of Pelham One Two Three,1974,41687,7.6
The Three Musketeers,1973,20713,7.1
Thunderbolt and Lightfoot,1974,33385,7.0
The Towering Inferno,1974,53308,7.0
Going Places,1974,10835,7.1
Deewaar,1975,13201,8.0
The Four Musketeers,1974,12832,6.9
French Connection II,1975,23329,6.7
Sholay,1975,63699,8.1
The Wind and the Lion,1975,11200,6.8
The Yakuza,1974,11769,7.2
Assault on Precinct 13,1976,61526,7.3
Crime Busters,1977,14337,7.1
The Enforcer,1976,53436,6.7
Logan's Run,1976,66178,6.8
Midway,1976,23508,6.8
Silver Streak,1976,23647,6.9
Smokey and the Bandit,1977,63468,7.0
The Spy Who Loved Me,1977,126219,7.0
Star Wars: Episode IV - A New Hope,1977,1582945,8.6
Battlestar Galactica,1978,11833,6.8
Capricorn One,1978,27500,6.8
Don,1978,13565,7.7
The Driver,1978,21886,7.1
Odds and Evens,1978,11265,7.1
The 36th Chamber of Shaolin,1978,20645,7.6
Snake in the Eagle's Shadow,1978,14249,7.3
