primaryTitle,startYear,numVotes,averageRating
The Navigator,1924,12159,7.5
The Gold Rush,1925,128824,8.1
The General,1926,105789,8.1
The Most Dangerous Game,1932,15611,7.0
The Old Dark House,1932,14887,7.0
Shanghai Express,1932,11897,7.3
King Kong,1933,96430,7.9
L'Atalante,1934,18765,7.7
Captain Blood,1935,17514,7.7
Mutiny on the Bounty,1935,26878,7.6
Captains Courageous,1937,12060,7.9
Lost Horizon,1937,15833,7.6
Snow White and the Seven Dwarfs,1937,239566,7.6
The Adventures of Robin Hood,1938,58001,7.9
Gunga Din,1939,13671,7.2
Only Angels Have Wings,1939,17550,7.6
Stagecoach,1939,59418,7.8
The Wizard of Oz,1939,471169,8.1
The Mark of Zorro,1940,12039,7.5
Pinocchio,1940,173959,7.4
The Sea Hawk,1940,11633,7.6
The Thief of Bagdad,1940,16036,7.4
Dumbo,1941,151336,7.2
High Sierra,1941,21181,7.5
Sullivan's Travels,1941,31037,7.9
Bambi,1942,166446,7.3
For Whom the Bell Tolls,1943,11205,6.8
To Have and Have Not,1944,41445,7.8
Great Expectations,1946,28535,7.8
The Treasure of the Sierra Madre,1948,142326,8.2
Treasure Island,1950,10898,6.9
The African Queen,1951,87940,7.7
Alice in Wonderland,1951,168133,7.3
Bend of the River,1952,11054,7.2
Ivanhoe,1952,11405,6.7
Mogambo,1953,10048,6.6
Peter Pan,1953,167019,7.2
The Wages of Fear,1953,74129,8.1
"20,000 Leagues Under the Sea",1954,39624,7.2
River of No Return,1954,14333,6.6
Samurai I: Musashi Miyamoto,1954,10431,7.4
Vera Cruz,1954,13124,7.0
Lady and the Tramp,1955,163265,7.3
Around the World in 80 Days,1956,32248,6.7
The Court Jester,1955,15192,7.8
Forbidden Planet,1956,57631,7.5
Moby Dick,1956,23219,7.3
The Searchers,1956,103408,7.8
The Ten Commandments,1956,85358,7.9
3:10 to Yuma,1957,24049,7.6
The Bridge on the River Kwai,1957,249982,8.1
The Enemy Below,1957,13490,7.4
"Heaven Knows, Mr. Allison",1957,10532,7.3
The Incredible Shrinking Man,1957,22275,7.6
Old Yeller,1957,16845,7.2
The 7th Voyage of Sinbad,1958,16546,7.0
The Hidden Fortress,1958,46207,8.0
The Vikings,1958,17544,7.0
Ben-Hur,1959,272712,8.1
Darby O'Gill and the Little People,1959,10282,7.1
The Horse Soldiers,1959,13199,7.1
Journey to the Center of the Earth,1959,21510,7.0
The Mouse That Roared,1959,10243,6.9
The Mummy,1959,12907,6.6
North by Northwest,1959,370677,8.3
Sleeping Beauty,1959,172204,7.2
The Alamo,1960,19780,6.8
The Magnificent Seven,1960,111385,7.7
Spartacus,1960,151946,7.9
Swiss Family Robinson,1960,20154,7.1
The Time Machine,1960,47607,7.5
The Guns of Navarone,1961,60470,7.5
One Hundred and One Dalmatians,1961,198165,7.3
Dr. No,1962,197281,7.2
Hatari!,1962,15887,7.1
How the West Was Won,1962,25743,7.1
Lawrence of Arabia,1962,344614,8.3
Mutiny on the Bounty,1962,19596,7.2
The Easy Life,1962,14640,8.2
Donovan's Reef,1963,10850,6.7
From Russia with Love,1963,160220,7.3
The Great Escape,1963,279242,8.2
"It's a Mad, Mad, Mad, Mad World",1963,51542,7.4
Jason and the Argonauts,1963,35389,7.3
Lord of the Flies,1963,22220,6.8
The Sword in the Stone,1963,115341,7.1
Fantomas,1964,13812,6.9
Father Goose,1964,13699,7.3
Goldfinger,1964,219268,7.7
Topkapi,1964,11705,6.9
The Flight of the Phoenix,1965,24390,7.5
The Great Race,1965,21717,7.2
Help!,1965,21376,7.1
Thunderball,1965,138885,6.9
Von Ryan's Express,1965,16298,7.1
"The Good, the Bad and the Ugly",1966,897240,8.8
Fantastic Voyage,1966,22620,6.8
Don't Look Now... We're Being Shot At!,1966,22604,7.9
"Kidnapping, Caucasian Style",1967,15225,8.2
The Professionals,1966,21067,7.3
The Sand Pebbles,1966,17949,7.5
Asterix the Gaul,1967,13261,6.6
The Dirty Dozen,1967,84581,7.7
The Jungle Book,1967,214875,7.6
Weekend,1967,16796,6.9
You Only Live Twice,1967,128402,6.8
2001: A Space Odyssey,1968,789723,8.3
Asterix and Cleopatra,1968,16109,7.2
The Diamond Arm,1969,18139,8.2
Chitty Chitty Bang Bang,1968,55421,7.0
Ice Station Zebra,1968,13080,6.6
Planet of the Apes,1968,210721,8.0
Yellow Submarine,1968,30067,7.4
Butch Cassidy and the Sundance Kid,1969,239243,8.0
Easy Rider,1969,123245,7.2
"Hello, Dolly!",1969,18703,7.1
Mackenna's Gold,1969,10816,6.7
On Her Majesty's Secret Service,1969,109683,6.7
True Grit,1969,54387,7.4
Two Mules for Sister Sara,1970,33185,7.0
Where Eagles Dare,1968,67109,7.6
The Wild Bunch,1969,94559,7.9
The Aristocats,1970,126356,7.1
Kelly's Heroes,1970,59027,7.6
Little Big Man,1970,40645,7.5
A Man Called Horse,1970,10295,6.8
The Private Life of Sherlock Holmes,1970,15009,7.0
Valerie and Her Week of Wonders,1970,13673,7.0
Bedknobs and Broomsticks,1971,43656,7.1
Le Mans,1971,13436,6.7
Walkabout,1971,29979,7.6
Willy Wonka & the Chocolate Factory,1971,246101,7.8
"Aguirre, the Wrath of God",1972,68754,7.8
The Cowboys,1972,17559,7.4
Deliverance,1972,129715,7.6
Jeremiah Johnson,1972,40000,7.6
The Way of the Dragon,1972,44325,7.1
The Poseidon Adventure,1972,54510,7.1
Solaris,1972,104852,7.9
The Mad Adventures of Rabbi Jacob,1973,16456,7.4
Charlotte's Web,1973,23032,6.9
Ivan Vasilyevich Changes His Profession,1973,20604,8.2
Live and Let Die,1973,125646,6.7
Robin Hood,1973,151399,7.5
Three Wishes for Cinderella,1973,13718,7.6
Dersu Uzala,1975,36725,8.2
The Golden Voyage of Sinbad,1973,12082,6.8
The Holy Mountain,1973,53051,7.7
The Man with the Golden Gun,1974,122756,6.7
Monty Python and the Holy Grail,1975,606321,8.1
The Three Musketeers,1973,20713,7.1
Barry Lyndon,1975,207271,8.1
The Twelve Tasks of Asterix,1976,21582,7.7
The Four Musketeers,1974,12832,6.9
Jaws,1975,746706,8.1
The Man Who Would Be King,1975,55811,7.7
Rooster Cogburn,1975,14551,6.8
Sholay,1975,63699,8.1
The Wind and the Lion,1975,11200,6.8
Crime Busters,1977,14337,7.1
The Eagle Has Landed,1976,27512,6.9
Logan's Run,1976,66178,6.8
Who's Singin' Over There?,1980,18037,8.7
The Rescuers,1977,75903,6.9
Smokey and the Bandit,1977,63468,7.0
Sorcerer,1977,37363,7.7
The Spy Who Loved Me,1977,126219,7.0
Star Wars: Episode IV - A New Hope,1977,1582945,8.6
Battlestar Galactica,1978,11833,6.8
Capricorn One,1978,27500,6.8
The 36th Chamber of Shaolin,1978,20645,7.6
Superman,1978,208250,7.4
Watership Down,1978,43738,7.5
The Wild Geese,1978,15865,6.8
The Black Stallion,1979,15470,7.4
The Great Train Robbery,1978,22008,6.9
The In-Laws,1979,11176,7.3
I'm for the Hippopotamus,1979,10351,6.6
Mad Max,1979,246360,6.8
The Muppet Movie,1979,42980,7.6
Lupin III: The Castle of Cagliostro,1979,36166,7.6
Time After Time,1979,21476,7.0
The Blues Brothers,1980,231052,7.9
Star Wars: Episode V - The Empire Strikes Back,1980,1517801,8.7
The Final Countdown,1980,30280,6.7
The Gods Must Be Crazy,1980,63472,7.3
Heaven's Gate,1980,19288,6.7
Hopscotch,1980,10151,7.1
Shogun Assassin,1980,12117,7.3
Superman II,1980,124481,6.8
Time Bandits,1981,74688,6.9
La Chèvre,1981,12072,7.3
Clash of the Titans,1981,51876,6.9
Conan the Barbarian,1982,175054,6.9
Dragonslayer,1981,20813,6.6
Escape from New York,1981,174664,7.1
Excalibur,1981,74396,7.3
For Your Eyes Only,1981,117277,6.7
The Fox and the Hound,1981,111323,7.2
Gallipoli,1981,44923,7.4
The Great Muppet Caper,1981,18510,7.1
Quest for Fire,1981,26646,7.3
Heavy Metal,1981,42020,6.6
The Road Warrior,1981,214542,7.6
Raiders of the Lost Ark,1981,1117516,8.4
The Dark Crystal,1982,77696,7.1
E.T. the Extra-Terrestrial,1982,475161,7.9
First Blood,1982,304285,7.7
Fitzcarraldo,1982,43485,7.9
The Last Unicorn,1982,33527,7.3
The Man from Snowy River,1982,10886,7.2
The Plague Dogs,1982,10166,7.7
The Secret of NIMH,1982,49266,7.5
Star Trek II: The Wrath of Khan,1982,136556,7.7
Tron,1982,147162,6.7
Project A,1983,20658,7.2
