primaryTitle,startYear,numVotes,averageRating
Snow White and the Seven Dwarfs,1937,239566,7.6
Fantasia,1940,112004,7.7
Pinocchio,1940,173959,7.4
Dumbo,1941,151336,7.2
Bambi,1942,166446,7.3
Song of the South,1946,15315,6.9
The Adventures of Ichabod and Mr. Toad,1949,20402,6.8
Cinderella,1950,188749,7.3
Alice in Wonderland,1951,168133,7.3
Peter Pan,1953,167019,7.2
Animal Farm,1954,22050,7.2
Lady and the Tramp,1955,163265,7.3
Sleeping Beauty,1959,172204,7.2
One Hundred and One Dalmatians,1961,198165,7.3
The Sword in the Stone,1963,115341,7.1
Asterix the Gaul,1967,13261,6.6
The Jungle Book,1967,214875,7.6
Asterix and Cleopatra,1968,16109,7.2
Yellow Submarine,1968,30067,7.4
The Aristocats,1970,126356,7.1
Bedknobs and Broomsticks,1971,43656,7.1
Charlotte's Web,1973,23032,6.9
Fantastic Planet,1973,43046,7.6
Robin Hood,1973,151399,7.5
The Twelve Tasks of Asterix,1976,21582,7.7
The Pinchcliffe Grand Prix,1975,15473,8.5
The Many Adventures of Winnie the Pooh,1977,43226,7.5
The Rescuers,1977,75903,6.9
Watership Down,1978,43738,7.5
Lupin III: The Castle of Cagliostro,1979,36166,7.6
The Fox and the Hound,1981,111323,7.2
Heavy Metal,1981,42020,6.6
The Last Unicorn,1982,33527,7.3
The Plague Dogs,1982,10166,7.7
The Secret of NIMH,1982,49266,7.5
Barefoot Gen,1983,10543,8.0
Nausicaä of the Valley of the Wind,1984,198716,8.0
Asterix Versus Caesar,1985,11537,6.8
Vampire Hunter D,1985,19387,7.0
When the Wind Blows,1986,15075,7.7
An American Tail,1986,61957,6.9
Asterix in Britain,1986,13677,7.1
The Great Mouse Detective,1986,59445,7.1
Castle in the Sky,1986,199942,8.0
The Transformers: The Movie,1986,44947,7.2
The Brave Little Toaster,1987,29758,7.2
Akira,1988,229855,8.0
Grave of the Fireflies,1988,393072,8.5
The Land Before Time,1988,108125,7.4
Alice,1988,15288,7.4
Oliver & Company,1988,57536,6.6
My Neighbor Totoro,1988,437454,8.1
Who Framed Roger Rabbit,1988,234272,7.7
All Dogs Go to Heaven,1989,49944,6.8
The Little Mermaid,1989,314424,7.6
Kiki's Delivery Service,1989,190824,7.8
Wicked City,1987,11994,6.7
DuckTales: The Movie - Treasure of the Lost Lamp,1990,30598,6.8
The Rescuers Down Under,1990,51670,6.8
Beauty and the Beast,1991,508328,8.0
Only Yesterday,1991,42939,7.6
Aladdin,1992,504071,8.0
FernGully: The Last Rainforest,1992,37821,6.6
Porco Rosso,1992,118124,7.7
Batman: Mask of the Phantasm,1993,64523,7.8
The Nightmare Before Christmas,1993,414153,7.9
Ninja Scroll,1993,45120,7.8
Pom Poko,1994,39327,7.2
The Lion King,1994,1272106,8.5
Balto,1995,52290,7.1
A Goofy Movie,1995,70519,7.0
Ghost in the Shell,1995,175980,7.9
Memories,1995,26392,7.5
Whisper of the Heart,1995,84364,7.8
Pocahontas,1995,219389,6.7
Street Fighter II: The Animated Movie,1994,11291,7.2
Toy Story,1995,1192855,8.3
Beavis and Butt-Head Do America,1996,63187,6.8
The Hunchback of Notre Dame,1996,185998,7.0
James and the Giant Peach,1996,79117,6.7
Anastasia,1997,148064,7.2
Hercules,1997,282605,7.3
Princess Mononoke,1997,488585,8.3
Toy Story 2,1999,680930,7.9
A Bug's Life,1998,340125,7.2
Chicken Run,2000,226281,7.1
Mulan,1998,349675,7.7
The Prince of Egypt,1998,163823,7.3
Tarzan,1999,271208,7.3
Fantasia 2000,1999,44248,7.1
Titan A.E.,2000,67079,6.6
The Emperor's New Groove,2000,251662,7.4
Corpse Bride,2005,330942,7.4
Shrek,2001,818277,7.9
The Iron Giant,1999,264063,8.1
Treasure Planet,2002,149876,7.2
The Road to El Dorado,2000,120289,6.9
Dragon Ball Z: Fusion Reborn,1995,13799,7.6
Dragon Ball Z: Broly - The Legendary Super Saiyan,1993,13499,7.3
Dragon Ball Z: Wrath of the Dragon,1995,11031,7.4
Perfect Blue,1997,125538,8.0
"South Park: Bigger, Longer & Uncut",1999,224135,7.7
Sinbad: Legend of the Seven Seas,2003,64805,6.8
Spirit: Stallion of the Cimarron,2002,95010,7.2
Neon Genesis Evangelion: The End of Evangelion,1997,78386,8.1
Neon Genesis Evangelion: Death & Rebirth,1997,17183,7.2
Cat City,1986,11690,8.3
Kirikou and the Sorceress,1998,12309,7.5
Jin-Roh: The Wolf Brigade,1999,21295,7.3
"Monsters, Inc.",2001,1086679,8.1
My Neighbors the Yamadas,1999,17903,7.1
Vampire Hunter D: Bloodlust,2000,42131,7.7
Atlantis: The Lost Empire,2001,149474,6.9
Waking Life,2001,69796,7.6
Spirited Away,2001,979757,8.6
Ramayana: The Legend of Prince Rama,1993,17988,9.1
Finding Nemo,2003,1220376,8.2
Ice Age,2002,570066,7.5
Blood: The Last Vampire,2000,14234,6.6
Cowboy Bebop: The Movie,2001,57691,7.8
Lilo & Stitch,2002,246321,7.4
The Triplets of Belleville,2003,58548,7.7
The Powerpuff Girls Movie,2002,11700,6.6
Millennium Actress,2001,37422,7.8
Metropolis,2001,24081,7.2
Shrek 2,2004,561294,7.4
Wallace & Gromit: The Curse of the Were-Rabbit,2005,158301,7.5
Cars,2006,545148,7.3
The Incredibles,2004,912501,8.0
Over the Hedge,2006,204905,6.7
Coraline,2009,304198,7.8
Brother Bear,2003,137840,6.9
The Polar Express,2004,273135,6.6
The SpongeBob SquarePants Movie,2004,112531,7.2
Howl's Moving Castle,2004,519044,8.2
Ghost in the Shell 2: Innocence,2004,42967,7.4
The Cat Returns,2002,73278,7.1
Steamboy,2004,19829,6.8
Madagascar,2005,485522,7.0
