primaryTitle,startYear,numVotes,averageRating
The Passion of Joan of Arc,1928,68958,8.1
Mutiny on the Bounty,1935,26878,7.6
The Life of Emile Zola,1937,10093,7.1
Alexander Nevsky,1938,13259,7.4
Young Mr. Lincoln,1939,10013,7.5
Sergeant York,1941,20097,7.7
The Pride of the Yankees,1942,13000,7.6
Yankee Doodle Dandy,1942,18238,7.6
"Ivan the Terrible, Part I",1944,11862,7.6
Viva Zapata!,1952,13539,7.2
The Glenn Miller Story,1954,10613,7.3
Samurai I: Musashi Miyamoto,1954,10431,7.4
Anastasia,1956,10350,7.0
The King and I,1956,29744,7.4
Lust for Life,1956,13213,7.3
Gunfight at the O.K. Corral,1957,19044,7.1
The Diary of Anne Frank,1959,14663,7.4
Inherit the Wind,1960,35814,8.1
Spartacus,1960,151946,7.9
El Cid,1961,17340,7.2
King of Kings,1961,10111,7.0
Birdman of Alcatraz,1962,21440,7.8
Lawrence of Arabia,1962,344614,8.3
The Miracle Worker,1962,21262,8.1
Cleopatra,1963,41620,7.0
Becket,1964,17191,7.7
The Gospel According to St. Matthew,1964,15274,7.6
The Greatest Story Ever Told,1965,13546,6.6
The Sound of Music,1965,293832,8.1
Andrei Rublev,1966,60985,8.0
A Man for All Seasons,1966,40651,7.7
Bonnie and Clyde,1967,127416,7.7
In Cold Blood,1967,31973,7.9
Funny Girl,1968,27615,7.4
The Lion in Winter,1968,37098,7.8
The Color of Pomegranates,1969,16990,7.5
Butch Cassidy and the Sundance Kid,1969,239243,8.0
Chisum,1970,12083,6.9
Patton,1970,113871,7.9
Waterloo,1970,14757,7.3
10 Rillington Place,1971,11022,7.5
The Devils,1971,21591,7.7
"Aguirre, the Wrath of God",1972,68754,7.8
Papillon,1973,146589,8.0
Pat Garrett & Billy the Kid,1973,23416,7.2
Serpico,1973,146871,7.7
Dersu Uzala,1975,36725,8.2
The Enigma of Kaspar Hauser,1974,20469,7.6
Lenny,1974,19744,7.5
The Mirror,1975,58203,7.9
Dog Day Afternoon,1975,293529,8.0
The Message,1976,54218,8.1
The Message,1976,12094,8.9
The Buddy Holly Story,1978,10937,7.3
The Last Waltz,1978,22318,8.1
Midnight Express,1978,95383,7.5
Escape from Alcatraz,1979,165932,7.5
Coal Miner's Daughter,1980,22410,7.5
The Elephant Man,1980,283398,8.2
Lion of the Desert,1980,18985,8.2
The Long Riders,1980,14855,6.9
Raging Bull,1980,412740,8.1
Chariots of Fire,1981,71454,7.1
Christiane F.,1981,35680,7.5
Mommie Dearest,1981,20237,6.7
Reds,1981,26987,7.3
Gandhi,1982,246727,8.0
Missing,1982,24564,7.7
Barefoot Gen,1983,10543,8.0
The Right Stuff,1983,68328,7.8
Silkwood,1983,24978,7.1
Amadeus,1984,471711,8.4
The Falcon and the Snowman,1985,14243,6.8
The Killing Fields,1984,64132,7.8
Mask,1985,35406,7.2
Mishima: A Life in Four Chapters,1985,17120,7.9
Out of Africa,1985,93838,7.2
84 Charing Cross Road,1987,12420,7.4
Sid and Nancy,1986,37168,7.0
Cry Freedom,1987,15421,7.4
"Good Morning, Vietnam",1987,166898,7.3
La Bamba,1987,38764,7.0
The Last Emperor,1987,120510,7.7
Stand and Deliver,1988,22640,7.3
Bird,1988,14455,7.1
A Cry in the Dark,1988,12238,6.9
Gorillas in the Mist,1988,31494,7.0
Tucker: The Man and His Dream,1988,22779,6.9
Born on the Fourth of July,1989,125595,7.2
Glory,1989,153770,7.8
Henry V,1989,33508,7.5
Lean on Me,1989,24956,7.4
My Left Foot,1989,85731,7.8
Awakenings,1990,178167,7.8
GoodFellas,1990,1406286,8.7
Henry: Portrait of a Serial Killer,1986,44790,7.0
Close-Up,1990,27230,8.2
Reversal of Fortune,1990,21667,7.1
The Lover,1992,25509,6.8
Bugsy,1991,33850,6.8
The Doors,1991,107775,7.2
American Me,1992,11643,7.1
Chaplin,1992,65936,7.5
Hoffa,1992,26282,6.6
Lorenzo's Oil,1992,25610,7.3
Malcolm X,1992,112065,7.7
Once Upon a Time in China II,1992,11498,7.3
Alive,1993,69139,7.1
Blood in Blood Out,1993,38123,7.9
Dragon: The Bruce Lee Story,1993,34024,7.0
Heaven & Earth,1993,16248,6.8
In the Name of the Father,1993,204121,8.1
Orlando,1992,21225,7.1
Rudy,1993,75251,7.5
Schindler's List,1993,1597245,9.0
Searching for Bobby Fischer,1993,44948,7.3
Shadowlands,1993,21683,7.3
This Boy's Life,1993,62770,7.2
Tombstone,1993,194308,7.8
What's Love Got to Do with It,1993,25850,7.4
Dear Diary,1993,10167,7.2
Crumb,1994,23140,8.0
Ed Wood,1994,190732,7.8
Heavenly Creatures,1994,70147,7.2
Immortal Beloved,1994,27712,7.4
The Madness of King George,1994,20227,7.2
The Postman,1994,41803,7.8
Quiz Show,1994,78215,7.5
Queen Margot,1994,20460,7.4
Wyatt Earp,1994,59881,6.7
The Basketball Diaries,1995,133885,7.3
Nixon,1995,34775,7.0
Restoration,1995,10447,6.6
Rob Roy,1995,49809,6.9
Basquiat,1996,24018,6.9
Michael Collins,1996,36366,7.1
The People vs. Larry Flynt,1996,106499,7.3
Shine,1996,59235,7.6
Amistad,1997,88489,7.3
Dangerous Beauty,1998,20856,7.1
Donnie Brasco,1997,359427,7.7
Mrs. Brown,1997,16458,7.2
Kundun,1997,32401,7.0
Private Parts,1997,40646,6.9
Selena,1997,34065,6.9
Seven Years in Tibet,1997,169492,7.1
Wilde,1997,17803,6.9
A Civil Action,1998,32888,6.6
Frida,2002,101842,7.3
Gods and Monsters,1998,34430,7.3
Man on the Moon,1999,143984,7.4
Elizabeth,1998,110746,7.4
Patch Adams,1998,131058,6.9
October Sky,1999,112766,7.8
The Insider,1999,192739,7.8
Angela's Ashes,1999,24582,7.3
Hilary and Jackie,1998,11326,7.3
Topsy-Turvy,1999,14313,7.3
Nowhere in Africa,2001,14850,7.5
The Straight Story,1999,109214,8.0
Antwone Fisher,2002,40908,7.3
Boys Don't Cry,1999,108084,7.5
"Girl, Interrupted",1999,235879,7.3
The Hurricane,1999,108639,7.6
Quills,2000,59302,7.2
Pollock,2000,31112,7.0
Erin Brockovich,2000,248752,7.5
My Best Fiend,1999,13269,7.8
Men of Honor,2000,131224,7.2
Remember the Titans,2000,252032,7.8
Blow,2001,288536,7.5
Chopper,2000,44847,7.1
Bully,2001,42367,6.9
Before Night Falls,2000,27391,7.1
Ali,2001,110793,6.7
Rabbit-Proof Fence,2002,31774,7.4
The Pianist,2002,1020765,8.5
Catch Me If You Can,2002,1257718,8.1
A Beautiful Mind,2001,1060617,8.2
Confessions of a Dangerous Mind,2002,96052,7.0
24 Hour Party People,2002,40692,7.3
Stanley Kubrick: A Life in Pictures,2001,11271,8.0
Amen.,2002,15839,7.2
Iris,2001,19943,7.0
Auto Focus,2002,16108,6.7
American Splendor,2003,54956,7.4
Bobby,2006,44005,6.9
Finding Neverland,2004,217883,7.6
Luther,2003,16777,6.6
Veronica Guerin,2003,23133,6.8
Radio,2003,49314,6.9
Hidalgo,2004,89038,6.7
The Fog of War,2003,26323,8.0
The Motorcycle Diaries,2004,109637,7.7
The Legend of Bhagat Singh,2002,18444,8.2
Girl with a Pearl Earring,2003,84709,6.9
The Aviator,2004,411592,7.5
Monster,2003,172892,7.3
Capturing the Friedmans,2003,28950,7.6
Tupac: Resurrection,2003,10044,7.9
Miracle,2004,64180,7.5
Ray,2004,166799,7.7
Cinderella Man,2005,210393,8.0
De-Lovely,2004,12401,6.6
The Life and Death of Peter Sellers,2004,15957,6.9
Lords of Dogtown,2005,61809,7.1
Walk the Line,2005,281976,7.8
Kinsey,2004,52742,7.0
Downfall,2004,402844,8.2
Beyond the Sea,2004,16108,6.7
The Assassination of Richard Nixon,2004,26591,6.9
Modigliani,2004,13190,7.1
I'm Not There,2007,63668,6.8
The Sea Inside,2004,89274,7.9
Che: Part Two,2008,36580,6.8
Machuca,2004,13267,7.7
Capote,2005,150213,7.3
Glory Road,2006,51585,7.2
It's All Gone Pete Tong,2004,21351,7.2
Born Into Brothels: Calcutta's Red Light Kids,2004,18945,7.2
The Greatest Game Ever Played,2005,36341,7.4
Coach Carter,2005,194611,7.4
Hotel Rwanda,2004,393993,8.1
The Diving Bell and the Butterfly,2007,113117,8.0
Breach,2007,64058,7.0
The New World,2005,94084,6.7
Mesrine: Public Enemy No. 1,2008,32553,7.4
The World's Fastest Indian,2005,64431,7.7
Elizabeth: The Golden Age,2007,78390,6.8
Mongol: The Rise of Genghis Khan,2007,51676,7.2
Becoming Jane,2007,68586,7.0
Jarhead,2005,226463,7.0
Find Me Guilty,2006,38190,7.0
The Stanford Prison Experiment,2015,48288,6.8
Infamous,2006,18962,7.0
Control,2007,72028,7.6
Gridiron Gang,2006,83246,6.9
Copying Beethoven,2006,14492,6.7
Sophie Scholl: The Final Days,2005,29969,7.6
Alpha Dog,2006,112121,6.9
The Great Debaters,2007,66746,7.5
Grizzly Man,2005,68180,7.7
"Good Night, and Good Luck.",2005,105587,7.4
The Devil and Daniel Johnston,2005,11018,7.9
The Queen,2006,120039,7.3
Catch a Fire,2006,11120,6.7
Goodbye Bafana,2007,12518,7.1
Lincoln,2012,286525,7.3
The Assassination of Jesse James by the Coward Robert Ford,2007,205687,7.5
Invincible,2006,79801,7.0
Fearless,2006,81663,7.5
La Vie En Rose,2007,94476,7.5
42,2013,109495,7.5
Amazing Grace,2006,26646,7.4
The Pursuit of Happyness,2006,628035,8.0
The Last King of Scotland,2006,206777,7.6
Goya's Ghosts,2006,33319,6.9
The Hoax,2006,17769,6.6
Rescue Dawn,2006,117170,7.2
Freedom Writers,2007,93380,7.6
The Other Boleyn Girl,2008,127559,6.7
The Express,2008,23692,7.2
Charlie Wilson's War,2007,131119,7.0
Notorious,2009,48196,6.7
Miss Potter,2006,34082,7.0
Into the Wild,2007,698302,8.0
American Gangster,2007,491482,7.8
The Baader Meinhof Complex,2008,41845,7.3
The Man Who Knew Infinity,2015,67357,7.2
Dallas Buyers Club,2013,551329,7.9
Talk to Me,2007,10676,7.3
The Dirt,2019,61234,7.0
An American Crime,2007,40112,7.2
Red Dog,2011,21128,7.3
Persepolis,2007,106833,8.0
Bright Star,2009,29965,6.9
The Danish Girl,2015,207132,7.1
The Soloist,2009,56910,6.7
Changeling,2008,276061,7.7
The Last Station,2009,19868,6.9
A Mighty Heart,2007,28783,6.6
North Face,2008,17186,7.4
The Duchess,2008,91326,6.9
Frost/Nixon,2008,116239,7.6
The Blind Side,2009,390348,7.6
Che: Part One,2008,49971,7.1
Shine a Light,2008,12737,7.1
The Whistleblower,2010,37361,7.1
Rise of the Footsoldier,2007,23021,6.7
Love & Mercy,2014,45925,7.4
The King of Kong: A Fistful of Quarters,2007,38690,8.0
