primaryTitle,startYear,numVotes,averageRating
The Kid,1921,146663,8.2
Our Hospitality,1923,13647,7.7
Safety Last!,1923,25065,8.1
The Navigator,1924,12159,7.5
Sherlock Jr.,1924,66649,8.1
The Gold Rush,1925,128824,8.1
Seven Chances,1925,13348,7.8
The General,1926,105789,8.1
The Cameraman,1928,14705,8.0
The Circus,1928,38800,8.1
"Steamboat Bill, Jr.",1928,17697,7.8
Animal Crackers,1930,16250,7.4
L'Age d'Or,1930,15797,7.2
City Lights,1931,217699,8.5
Monkey Business,1931,13789,7.4
Horse Feathers,1932,14220,7.5
The Old Dark House,1932,14887,7.0
Trouble in Paradise,1932,17646,7.9
Duck Soup,1933,64299,7.7
42nd Street,1933,13957,7.3
Gold Diggers of 1933,1933,10133,7.7
Sons of the Desert,1933,10467,7.5
It Happened One Night,1934,120325,8.1
The Thin Man,1934,35486,7.9
A Night at the Opera,1935,36680,7.8
Top Hat,1935,22308,7.7
After the Thin Man,1936,13264,7.6
Modern Times,1936,287018,8.5
Mr. Deeds Goes to Town,1936,25151,7.8
My Man Godfrey,1936,28850,7.9
Swing Time,1936,15692,7.4
The Awful Truth,1937,23461,7.6
A Day at the Races,1937,15447,7.5
My Favorite Wife,1940,12710,7.2
Stage Door,1937,9893,7.7
Bringing Up Baby,1938,69607,7.8
Holiday,1938,20309,7.7
Pygmalion,1938,10575,7.7
You Can't Take It with You,1938,30588,7.8
Destry Rides Again,1939,13608,7.6
Gunga Din,1939,13671,7.2
Mr. Smith Goes to Washington,1939,130180,8.1
Ninotchka,1939,25041,7.8
The Rules of the Game,1939,33559,7.9
The Women,1939,16207,7.7
The Great Dictator,1940,259689,8.4
His Girl Friday,1940,68384,7.8
The Philadelphia Story,1940,79001,7.8
Pinocchio,1940,173959,7.4
Pride and Prejudice,1940,10137,7.3
The Shop Around the Corner,1940,44546,8.0
Ball of Fire,1941,16127,7.7
The Lady Eve,1941,25660,7.7
The Man Who Came to Dinner,1941,9875,7.5
Meet John Doe,1941,16518,7.6
Sullivan's Travels,1941,31037,7.9
Holiday Inn,1942,19583,7.3
I Married a Witch,1942,10954,7.1
The Palm Beach Story,1942,13849,7.4
The Talk of the Town,1942,10062,7.5
To Be or Not to Be,1942,50201,8.1
Woman of the Year,1942,11950,7.1
Heaven Can Wait,1943,13526,7.3
Arsenic and Old Lace,1944,77923,7.9
Going My Way,1944,14918,7.0
Meet Me in St. Louis,1944,31311,7.5
To Have and Have Not,1944,41445,7.8
Anchors Aweigh,1945,10087,7.0
Christmas in Connecticut,1945,13819,7.3
Song of the South,1946,15315,6.9
The Bachelor and the Bobby-Soxer,1947,10387,7.2
The Bishop's Wife,1947,23950,7.6
The Ghost and Mrs. Muir,1947,21503,7.8
Miracle on 34th Street,1947,60007,7.9
Monsieur Verdoux,1947,20727,7.8
Abbott and Costello Meet Frankenstein,1948,20507,7.3
Mr. Blandings Builds His Dream House,1948,13759,7.2
Adam's Rib,1949,24622,7.4
The Adventures of Ichabod and Mr. Toad,1949,20402,6.8
Late Spring,1949,21850,8.2
I Was a Male War Bride,1949,9913,7.0
Kind Hearts and Coronets,1949,42370,8.0
A Letter to Three Wives,1949,11823,7.6
On the Town,1949,20033,7.3
Born Yesterday,1950,13715,7.5
Father of the Bride,1950,13642,7.1
Harvey,1950,61237,7.9
Alice in Wonderland,1951,168133,7.3
Early Summer,1951,10811,8.0
The Lavender Hill Mob,1951,17077,7.5
Limelight,1952,24161,8.0
The Man in the White Suit,1951,11778,7.2
Monkey Business,1952,16883,6.9
The Quiet Man,1952,46218,7.7
Singin' in the Rain,1952,284875,8.3
The Band Wagon,1953,13691,7.4
Calamity Jane,1953,12308,7.2
Gentlemen Prefer Blondes,1953,46839,7.1
How to Marry a Millionaire,1953,27054,6.8
Roman Holiday,1953,158391,8.0
Stalag 17,1953,60416,7.9
Monsieur Hulot's Holiday,1953,22136,7.3
I Vitelloni,1953,23390,7.8
Hobson's Choice,1954,10178,7.7
