primaryTitle,startYear,numVotes,averageRating
"Dr. Mabuse, the Gambler",1922,10018,7.8
The Lodger: A Story of the London Fog,1927,15229,7.3
Pandora's Box,1929,13014,7.7
Blackmail,1929,13655,6.9
Little Caesar,1931,16127,7.1
M,1931,183896,8.3
The Public Enemy,1931,23732,7.6
I Am a Fugitive from a Chain Gang,1932,15775,8.2
Scarface,1932,33664,7.7
The Testament of Dr. Mabuse,1933,14719,7.9
Trouble in Paradise,1932,17646,7.9
The Black Cat,1934,14534,6.9
The Man Who Knew Too Much,1934,23698,6.7
The Thin Man,1934,35486,7.9
The 39 Steps,1935,66648,7.6
After the Thin Man,1936,13264,7.6
Fury,1936,14850,7.8
Sabotage,1936,20899,7.0
Young and Innocent,1937,12199,6.8
Angels with Dirty Faces,1938,25007,7.8
The Lady Vanishes,1938,61808,7.7
Port of Shadows,1938,10943,7.7
The Hound of the Baskervilles,1939,13072,7.4
The Roaring Twenties,1939,17651,7.9
The Letter,1940,16001,7.5
They Drive by Night,1940,10140,7.2
The Maltese Falcon,1941,175043,7.9
This Gun for Hire,1942,11726,7.3
Le Corbeau,1943,11994,7.8
Arsenic and Old Lace,1944,77923,7.9
Double Indemnity,1944,182712,8.3
Gaslight,1944,38200,7.8
"Murder, My Sweet",1944,16490,7.5
The Woman in the Window,1944,19709,7.6
And Then There Were None,1945,18753,7.3
Detour,1945,22366,7.3
Mildred Pierce,1945,31679,7.9
Scarlet Street,1945,21542,7.7
The Big Sleep,1946,94757,7.9
The Blue Dahlia,1946,10666,7.1
The Killers,1946,26355,7.7
The Postman Always Rings Twice,1946,25069,7.4
The Stranger,1946,31129,7.3
Brute Force,1947,12834,7.5
Crossfire,1947,10980,7.2
Dead Reckoning,1946,10084,7.0
Kiss of Death,1947,10667,7.4
Monsieur Verdoux,1947,20727,7.8
Odd Man Out,1947,13229,7.6
Out of the Past,1947,45044,7.9
The Big Clock,1948,11048,7.6
Key Largo,1948,47556,7.7
The Lady from Shanghai,1947,36912,7.5
The Naked City,1948,17174,7.5
Rope,1948,166084,7.9
They Live by Night,1948,10500,7.4
Drunken Angel,1948,14961,7.6
Criss Cross,1949,10907,7.4
Kind Hearts and Coronets,1949,42370,8.0
Stray Dog,1949,21104,7.8
The Set-Up,1949,11388,7.8
White Heat,1949,38821,8.1
The Asphalt Jungle,1950,33244,7.8
D.O.A.,1949,14290,7.2
Gun Crazy,1950,16757,7.6
Night and the City,1950,16766,7.8
The Young and the Damned,1950,23844,8.2
Rashomon,1950,198096,8.1
Where the Sidewalk Ends,1950,11240,7.5
Detective Story,1951,10607,7.5
Strangers on a Train,1951,148747,7.9
Angel Face,1952,10228,7.2
The Lavender Hill Mob,1951,17077,7.5
The Big Heat,1953,33030,7.9
The Hitch-Hiker,1953,12026,6.9
I Confess,1953,25495,7.2
Pickup on South Street,1953,17981,7.6
The Barefoot Contessa,1954,14593,6.9
Diabolique,1955,73729,8.1
Dial M for Murder,1954,206307,8.1
On the Waterfront,1954,180208,8.1
The Wild One,1953,19255,6.7
Bad Day at Black Rock,1955,27012,7.6
The Big Combo,1955,10093,7.3
Blackboard Jungle,1955,10658,7.4
Bob le Flambeur,1956,14353,7.5
The Desperate Hours,1955,11872,7.5
Rififi,1955,39596,8.1
Guys and Dolls,1955,21039,7.1
Kiss Me Deadly,1955,23877,7.5
The Ladykillers,1955,34398,7.6
The Man with the Golden Arm,1955,13503,7.3
Confidential Report,1955,10155,7.1
The Night of the Hunter,1955,109056,7.9
We're No Angels,1955,12276,7.3
The Killing,1956,106674,7.9
The Man Who Knew Too Much,1956,76683,7.4
12 Angry Men,1957,997380,9.0
Love in the Afternoon,1957,18509,7.1
Witness for the Prosecution,1957,163618,8.4
Elevator to the Gallows,1958,32079,7.9
The Defiant Ones,1958,20299,7.5
House on Haunted Hill,1959,35068,6.7
Big Deal on Madonna Street,1958,12970,7.9
Touch of Evil,1958,115371,7.9
Pickpocket,1959,27753,7.5
The 400 Blows,1959,135236,8.0
Breathless,1960,96219,7.6
Purple Noon,1960,24319,7.7
Rocco and His Brothers,1960,25971,8.2
Shoot the Piano Player,1960,21997,7.4
Le Trou,1960,24002,8.5
The Bad Sleep Well,1960,15672,7.9
Le Doulos,1962,13276,7.7
West Side Story,1961,128426,7.6
Birdman of Alcatraz,1962,21440,7.8
Lolita,1962,116799,7.5
To Kill a Mockingbird,1962,352418,8.2
The Pink Panther,1963,62229,7.0
High and Low,1963,73002,8.4
Band of Outsiders,1964,29169,7.6
Fantomas,1964,13812,6.9
The Gendarme of Saint-Tropez,1964,15458,7.1
