primaryTitle,startYear,numVotes,averageRating
Intolerance,1916,18102,7.6
Broken Blossoms,1919,11828,7.2
The Kid,1921,146663,8.2
The Phantom Carriage,1921,15938,8.0
The Last Laugh,1924,16641,8.0
Strike,1925,9583,7.6
Battleship Potemkin,1925,65496,7.9
The Gold Rush,1925,128824,8.1
Greed,1924,11655,8.0
Faust,1926,18523,8.1
The Lodger: A Story of the London Fog,1927,15229,7.3
Metropolis,1927,202490,8.2
Napoleon,1927,9839,8.2
Sunrise,1927,56977,8.1
The Unknown,1927,10371,7.7
Wings,1927,16474,7.5
Pandora's Box,1929,13014,7.7
The Cameraman,1928,14705,8.0
The Crowd,1928,10096,8.0
The Passion of Joan of Arc,1928,68958,8.1
"Steamboat Bill, Jr.",1928,17697,7.8
Blackmail,1929,13655,6.9
All Quiet on the Western Front,1930,72516,8.1
The Blue Angel,1930,17771,7.6
Little Caesar,1931,16127,7.1
L'Age d'Or,1930,15797,7.2
City Lights,1931,217699,8.5
Dracula,1931,65214,7.3
Frankenstein,1931,88425,7.7
The Public Enemy,1931,23732,7.6
Freaks,1932,55175,7.8
Grand Hotel,1932,22857,7.3
I Am a Fugitive from a Chain Gang,1932,15775,8.2
The Old Dark House,1932,14887,7.0
Scarface,1932,33664,7.7
Shanghai Express,1932,11897,7.3
Dinner at Eight,1933,9787,7.5
42nd Street,1933,13957,7.3
Gold Diggers of 1933,1933,10133,7.7
Zero de Conduite,1933,10105,7.2
L'Atalante,1934,18765,7.7
The Man Who Knew Too Much,1934,23698,6.7
Bride of Frankenstein,1935,59381,7.8
Mutiny on the Bounty,1935,26878,7.6
Dodsworth,1936,11194,7.7
Fury,1936,14850,7.8
The Great Ziegfeld,1936,9872,6.6
Modern Times,1936,287018,8.5
Mr. Deeds Goes to Town,1936,25151,7.8
My Man Godfrey,1936,28850,7.9
The Petrified Forest,1936,16014,7.5
Things to Come,1936,10260,6.6
Camille,1936,9580,7.3
Captains Courageous,1937,12060,7.9
Dead End,1937,9695,7.2
Grand Illusion,1937,41283,8.0
The Life of Emile Zola,1937,10093,7.1
Lost Horizon,1937,15833,7.6
Make Way for Tomorrow,1937,10708,8.1
Stage Door,1937,9893,7.7
A Star Is Born,1937,11978,7.3
Young and Innocent,1937,12199,6.8
Alexander Nevsky,1938,13259,7.4
Angels with Dirty Faces,1938,25007,7.8
A Christmas Carol,1938,10034,7.5
Jezebel,1938,16549,7.4
The Lady Vanishes,1938,61808,7.7
Pygmalion,1938,10575,7.7
Port of Shadows,1938,10943,7.7
You Can't Take It with You,1938,30588,7.8
Dark Victory,1939,13566,7.4
Gone with the Wind,1939,357671,8.2
"Goodbye, Mr. Chips",1939,12425,7.9
The Hunchback of Notre Dame,1939,13407,7.8
Mr. Smith Goes to Washington,1939,130180,8.1
Only Angels Have Wings,1939,17550,7.6
The Roaring Twenties,1939,17651,7.9
The Rules of the Game,1939,33559,7.9
Son of Frankenstein,1939,13525,7.1
Stagecoach,1939,59418,7.8
The Women,1939,16207,7.7
Wuthering Heights,1939,22973,7.5
Young Mr. Lincoln,1939,10013,7.5
Foreign Correspondent,1940,26285,7.4
The Grapes of Wrath,1940,107415,8.1
The Great Dictator,1940,259689,8.4
His Girl Friday,1940,68384,7.8
The Letter,1940,16001,7.5
The Mark of Zorro,1940,12039,7.5
Pride and Prejudice,1940,10137,7.3
Rebecca,1940,161847,8.0
The Shop Around the Corner,1940,44546,8.0
They Drive by Night,1940,10140,7.2
Waterloo Bridge,1940,11955,7.7
Citizen Kane,1941,495446,8.2
Dr. Jekyll and Mr. Hyde,1941,10856,6.8
Dumbo,1941,151336,7.2
High Sierra,1941,21181,7.5
How Green Was My Valley,1941,29442,7.7
The Little Foxes,1941,14259,7.9
The Maltese Falcon,1941,175043,7.9
Meet John Doe,1941,16518,7.6
Sergeant York,1941,20097,7.7
Sullivan's Travels,1941,31037,7.9
Suspicion,1941,45474,7.2
Bambi,1942,166446,7.3
Casablanca,1942,659023,8.5
Holiday Inn,1942,19583,7.3
The Magnificent Ambersons,1942,28889,7.6
Mrs. Miniver,1942,21477,7.6
"Now, Voyager",1942,20968,7.8
The Pride of the Yankees,1942,13000,7.6
Saboteur,1942,29858,7.1
The Talk of the Town,1942,10062,7.5
This Gun for Hire,1942,11726,7.3
Woman of the Year,1942,11950,7.1
Yankee Doodle Dandy,1942,18238,7.6
Le Corbeau,1943,11994,7.8
For Whom the Bell Tolls,1943,11205,6.8
Heaven Can Wait,1943,13526,7.3
I Walked with a Zombie,1943,15603,7.0
The Life and Death of Colonel Blimp,1943,18392,8.0
The Ox-Bow Incident,1943,27430,8.0
Sahara,1943,11122,7.5
Shadow of a Doubt,1943,75850,7.7
Day of Wrath,1943,12138,8.0
Double Indemnity,1944,182712,8.3
Gaslight,1944,38200,7.8
The Best Years of Our Lives,1946,76851,8.1
Going My Way,1944,14918,7.0
Jane Eyre,1943,10409,7.4
Laura,1944,56423,7.9
Lifeboat,1944,33972,7.6
Meet Me in St. Louis,1944,31311,7.5
Ministry of Fear,1944,9744,7.1
"Murder, My Sweet",1944,16490,7.5
To Have and Have Not,1944,41445,7.8
The Woman in the Window,1944,19709,7.6
And Then There Were None,1945,18753,7.3
The Bells of St. Mary's,1945,10632,7.2
Brief Encounter,1945,49041,8.0
Dead of Night,1945,15997,7.5
Detour,1945,22366,7.3
Children of Paradise,1945,22660,8.3
I Know Where I'm Going!,1945,11497,7.4
"Ivan the Terrible, Part I",1944,11862,7.6
Leave Her to Heaven,1945,17088,7.6
The Lost Weekend,1945,43549,7.8
Mildred Pierce,1945,31679,7.9
The Picture of Dorian Gray,1945,16205,7.5
Scarlet Street,1945,21542,7.7
Spellbound,1945,55710,7.5
They Were Expendable,1945,10332,7.2
Beauty and the Beast,1946,29997,7.9
The Big Sleep,1946,94757,7.9
The Blue Dahlia,1946,10666,7.1
Duel in the Sun,1946,10562,6.7
Gilda,1946,37645,7.6
Great Expectations,1946,28535,7.8
It's a Wonderful Life,1946,557515,8.6
The Killers,1946,26355,7.7
A Matter of Life and Death,1946,28153,8.0
My Darling Clementine,1946,28761,7.7
Notorious,1946,113214,7.9
Paisan,1946,10806,7.6
The Postman Always Rings Twice,1946,25069,7.4
"Rome, Open City",1945,34317,8.0
The Spiral Staircase,1946,12627,7.3
The Strange Love of Martha Ivers,1946,12474,7.4
The Stranger,1946,31129,7.3
The Bishop's Wife,1947,23950,7.6
Black Narcissus,1947,31698,7.7
Brute Force,1947,12834,7.5
Crossfire,1947,10980,7.2
Dark Passage,1947,24252,7.5
Dead Reckoning,1946,10084,7.0
Gentleman's Agreement,1947,19295,7.2
Germany Year Zero,1948,15464,7.8
The Ghost and Mrs. Muir,1947,21503,7.8
Kiss of Death,1947,10667,7.4
Miracle on 34th Street,1947,60007,7.9
Monsieur Verdoux,1947,20727,7.8
Nightmare Alley,1947,14745,7.7
Odd Man Out,1947,13229,7.6
Out of the Past,1947,45044,7.9
3 Godfathers,1948,11727,7.0
The Big Clock,1948,11048,7.6
Call Northside 777,1948,11565,7.4
The Fallen Idol,1948,10843,7.6
A Foreign Affair,1948,9561,7.3
Fort Apache,1948,21549,7.4
Hamlet,1948,20058,7.5
Key Largo,1948,47556,7.7
Bicycle Thieves,1948,192752,8.2
The Lady from Shanghai,1947,36912,7.5
Letter from an Unknown Woman,1948,15002,7.8
The Naked City,1948,17174,7.5
Oliver Twist,1948,15103,7.8
Red River,1948,38289,7.7
The Red Shoes,1948,44039,8.1
Rope,1948,166084,7.9
"Sorry, Wrong Number",1948,14384,7.3
They Live by Night,1948,10500,7.4
The Treasure of the Sierra Madre,1948,142326,8.2
Drunken Angel,1948,14961,7.6
All the King's Men,1949,18282,7.4
Late Spring,1949,21850,8.2
Criss Cross,1949,10907,7.4
The Fountainhead,1949,11881,7.0
The Heiress,1949,19182,8.1
A Letter to Three Wives,1949,11823,7.6
Stray Dog,1949,21104,7.8
Orpheus,1950,14657,7.8
Samson and Delilah,1949,10076,6.8
Sands of Iwo Jima,1949,12492,7.0
She Wore a Yellow Ribbon,1949,20957,7.2
The Third Man,1949,196777,8.1
Twelve O'Clock High,1949,15805,7.7
White Heat,1949,38821,8.1
All About Eve,1950,150167,8.2
The Asphalt Jungle,1950,33244,7.8
Born Yesterday,1950,13715,7.5
Broken Arrow,1950,10891,7.1
D.O.A.,1949,14290,7.2
Father of the Bride,1950,13642,7.1
Gun Crazy,1950,16757,7.6
Harvey,1950,61237,7.9
In a Lonely Place,1950,39623,7.9
Diary of a Country Priest,1951,13782,7.7
The Young and the Damned,1950,23844,8.2
Panic in the Streets,1950,9590,7.2
Rashomon,1950,198096,8.1
Rio Grande,1950,19554,7.0
Sunset Boulevard,1950,263031,8.4
Treasure Island,1950,10898,6.9
Where the Sidewalk Ends,1950,11240,7.5
Winchester '73,1950,23324,7.6
The African Queen,1951,87940,7.7
An American in Paris,1951,39660,7.1
Early Summer,1951,10811,8.0
Ace in the Hole,1951,42866,8.0
The Day the Earth Stood Still,1951,89194,7.7
Detective Story,1951,10607,7.5
Forbidden Games,1952,14285,8.0
A Place in the Sun,1951,27166,7.7
Quo Vadis,1951,18639,7.1
A Christmas Carol,1951,29292,8.1
Strangers on a Train,1951,148747,7.9
A Streetcar Named Desire,1951,119325,7.9
Angel Face,1952,10228,7.2
The Bad and the Beautiful,1952,17949,7.7
Bend of the River,1952,11054,7.2
Don't Bother to Knock,1952,9731,6.9
High Noon,1952,117113,7.9
Ikiru,1952,103448,8.3
Ivanhoe,1952,11405,6.7
Limelight,1952,24161,8.0
The Man in the White Suit,1951,11778,7.2
The Naked Spur,1953,14111,7.3
The Narrow Margin,1952,9989,7.6
The Quiet Man,1952,46218,7.7
Othello,1951,10266,7.5
Umberto D.,1952,30835,8.1
Viva Zapata!,1952,13539,7.2
The Big Heat,1953,33030,7.9
From Here to Eternity,1953,54700,7.6
The Hitch-Hiker,1953,12026,6.9
Hondo,1953,14140,7.0
How to Marry a Millionaire,1953,27054,6.8
I Confess,1953,25495,7.2
Julius Caesar,1953,14256,7.2
The Earrings of Madame De...,1953,12234,7.8
Mogambo,1953,10048,6.6
Niagara,1953,22642,7.0
Pickup on South Street,1953,17981,7.6
The Robe,1953,13023,6.7
Roman Holiday,1953,158391,8.0
The Wages of Fear,1953,74129,8.1
Shane,1953,48119,7.6
Summer with Monika,1953,17986,7.5
Stalag 17,1953,60416,7.9
Tokyo Story,1953,78479,8.1
Touchez pas au grisbi,1954,9720,7.6
Ugetsu,1953,28482,8.1
Journey to Italy,1954,14018,7.2
I Vitelloni,1953,23390,7.8
"20,000 Leagues Under the Sea",1954,39624,7.2
