primaryTitle,startYear,numVotes,averageRating
The Kid,1921,146663,8.2
The Cameraman,1928,14705,8.0
The Circus,1928,38800,8.1
Animal Crackers,1930,16250,7.4
Monkey Business,1931,13789,7.4
Horse Feathers,1932,14220,7.5
Sons of the Desert,1933,10467,7.5
Captains Courageous,1937,12060,7.9
A Day at the Races,1937,15447,7.5
Snow White and the Seven Dwarfs,1937,239566,7.6
Way Out West,1937,9624,7.6
A Christmas Carol,1938,10034,7.5
The Wizard of Oz,1939,471169,8.1
Fantasia,1940,112004,7.7
The Thief of Bagdad,1940,16036,7.4
How Green Was My Valley,1941,29442,7.7
Yankee Doodle Dandy,1942,18238,7.6
Meet Me in St. Louis,1944,31311,7.5
National Velvet,1944,8940,7.3
A Tree Grows in Brooklyn,1945,9110,8.0
It's a Wonderful Life,1946,557515,8.6
Song of the South,1946,15315,6.9
Miracle on 34th Street,1947,60007,7.9
Abbott and Costello Meet Frankenstein,1948,20507,7.3
The Adventures of Ichabod and Mr. Toad,1949,20402,6.8
Little Women,1949,9017,7.2
Samson and Delilah,1949,10076,6.8
Cinderella,1950,188749,7.3
Treasure Island,1950,10898,6.9
A Christmas Carol,1951,29292,8.1
Peter Pan,1953,167019,7.2
"20,000 Leagues Under the Sea",1954,39624,7.2
Around the World in 80 Days,1956,32248,6.7
The Court Jester,1955,15192,7.8
The Ten Commandments,1956,85358,7.9
Old Yeller,1957,16845,7.2
The 7th Voyage of Sinbad,1958,16546,7.0
Houseboat,1958,10556,6.6
Darby O'Gill and the Little People,1959,10282,7.1
The Diary of Anne Frank,1959,14663,7.4
Journey to the Center of the Earth,1959,21510,7.0
Good Morning,1959,12601,7.8
Sleeping Beauty,1959,172204,7.2
Pollyanna,1960,12666,7.4
Swiss Family Robinson,1960,20154,7.1
The Absent Minded Professor,1961,10184,6.7
Mysterious Island,1961,9824,6.7
The Parent Trap,1961,26573,7.2
The Music Man,1962,20966,7.7
Jason and the Argonauts,1963,35389,7.3
Mary Poppins,1964,199869,7.8
The Sound of Music,1965,293832,8.1
That Darn Cat!,1965,8866,6.8
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes,1965,9946,7.0
Chitty Chitty Bang Bang,1968,55421,7.0
Oliver!,1968,44692,7.4
"Yours, Mine and Ours",1968,11132,7.1
Kes,1969,26366,7.9
Scrooge,1970,14025,7.5
Fiddler on the Roof,1971,52583,8.0
Willy Wonka & the Chocolate Factory,1971,246101,7.8
1776,1972,10319,7.6
Three Wishes for Cinderella,1973,13718,7.6
The Pinchcliffe Grand Prix,1975,15473,8.5
The Bad News Bears,1976,27767,7.3
Bugsy Malone,1976,21067,6.8
The Many Adventures of Winnie the Pooh,1977,43226,7.5
The Black Stallion,1979,15470,7.4
The Muppet Movie,1979,42980,7.6
My Bodyguard,1980,11786,7.1
Annie,1982,53923,6.6
The Dark Crystal,1982,77696,7.1
E.T. the Extra-Terrestrial,1982,475161,7.9
The Ballad of Narayama,1983,10049,7.8
A Christmas Story,1983,179970,7.9
The Karate Kid,1984,273714,7.4
Ronia: The Robber's Daughter,1984,13064,7.3
The NeverEnding Story,1984,171929,7.3
The Goonies,1985,329279,7.7
Pee-wee's Big Adventure,1985,63897,7.1
Return to Oz,1985,34392,6.7
Flight of the Navigator,1986,55826,6.9
The Great Mouse Detective,1986,59445,7.1
Labyrinth,1986,166231,7.3
Short Circuit,1986,71218,6.6
Castle in the Sky,1986,199942,8.0
*batteries not included,1987,39374,6.6
The Brave Little Toaster,1987,29758,7.2
Where Is the Friend's House?,1987,23417,8.1
The Princess Bride,1987,489437,8.0
Alice,1988,15288,7.4
The Bear,1988,20580,7.7
The Adventures of Milo and Otis,1986,13591,6.8
Field of Dreams,1989,141337,7.5
The Little Mermaid,1989,314424,7.6
Kiki's Delivery Service,1989,190824,7.8
Home Alone,1990,751822,7.8
The Witches,1990,59742,6.8
Beauty and the Beast,1991,508328,8.0
Father of the Bride,1991,94141,6.6
Hook,1991,293808,6.8
My Girl,1991,98958,6.9
The Rocketeer,1991,66237,6.6
White Fang,1991,24392,6.7
FernGully: The Last Rainforest,1992,37821,6.6
The Mighty Ducks,1992,77356,6.6
The Muppet Christmas Carol,1992,82514,7.8
Newsies,1992,24506,6.9
Sister Act,1992,119390,6.6
Cool Runnings,1993,124493,7.0
Hocus Pocus,1993,173482,6.9
Mrs. Doubtfire,1993,318909,7.1
The Nightmare Before Christmas,1993,414153,7.9
The Sandlot,1993,117015,7.8
The Secret Garden,1993,47601,7.3
Black Beauty,1994,11410,6.6
Heavyweights,1995,33579,6.6
Iron Will,1994,10232,6.6
Little Women,1994,69658,7.3
Miracle on 34th Street,1994,51251,6.7
The Santa Clause,1994,148219,6.6
The Secret of Roan Inish,1994,9507,7.4
Babe,1995,143335,6.9
The White Balloon,1995,9517,7.6
Jumanji,1995,417694,7.1
A Little Princess,1995,39377,7.6
Whisper of the Heart,1995,84364,7.8
Fly Away Home,1996,29036,6.9
The Hunchback of Notre Dame,1996,185998,7.0
James and the Giant Peach,1996,79117,6.7
Matilda,1996,198003,7.0
Cats Don't Dance,1997,9344,6.9
Children of Heaven,1997,90913,8.2
Fantasia 2000,1999,44248,7.1
Simon Birch,1998,23099,6.8
October Sky,1999,112766,7.8
My Dog Skip,2000,22147,7.0
Kirikou and the Sorceress,1998,12309,7.5
The Color of Paradise,1999,19499,8.1
My Neighbors the Yamadas,1999,17903,7.1
Chachi 420,1997,14160,7.4
Harry Potter and the Sorcerer's Stone,2001,961263,7.7
Spirited Away,2001,979757,8.6
Asterix & Obelix: Mission Cleopatra,2002,63627,6.7
The Rookie,2002,39633,6.9
Tuck Everlasting,2002,25778,6.6
Harry Potter and the Chamber of Secrets,2002,773692,7.5
Whale Rider,2002,44466,7.5
Harry Potter and the Prisoner of Azkaban,2004,774789,7.9
Finding Neverland,2004,217883,7.6
Peter Pan,2003,85522,6.8
To Be and to Have,2002,8763,7.8
Elf,2003,348397,7.1
Secondhand Lions,2003,66538,7.5
Coraline,2009,304198,7.8
Harry Potter and the Goblet of Fire,2005,761092,7.7
Saathiya,2002,9666,6.8
The Polar Express,2004,273135,6.6
Two Brothers,2004,16670,7.0
A Series of Unfortunate Events,2004,232458,6.8
Howl's Moving Castle,2004,519044,8.2
An Unfinished Life,2005,36515,7.0
Duma,2005,9159,7.1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,461005,6.9
Charlie and the Chocolate Factory,2005,576143,6.7
Harry Potter and the Order of the Phoenix,2007,707904,7.5
Monster House,2006,157385,6.7
Where the Wild Things Are,2009,112437,6.7
Waqt: The Race Against Time,2005,14525,6.8
Nanny McPhee,2005,92432,6.6
Eight Below,2006,72038,7.3
Bridge to Terabithia,2007,193667,7.2
Little Manhattan,2005,26072,7.4
Martian Child,2007,21509,6.7
Harry Potter and the Half-Blood Prince,2009,667409,7.6
Dreamer,2005,14843,6.9
Veer Zaara,2004,67129,7.8
March of the Penguins,2005,62500,7.5
Akeelah and the Bee,2006,22942,7.4
The Ultimate Gift,2006,23446,7.3
The Secret of Kells,2009,41128,7.5
Vivah,2006,12275,6.7
The Nativity Story,2006,12260,6.8
Marley & Me,2008,176522,7.0
Hotel Transylvania,2012,318080,7.1
Chak De! India,2007,92478,8.1
WALL·E,2008,1335692,8.4
Harry Potter and the Deathly Hallows: Part 1,2010,671671,7.7
Hugo,2011,350810,7.5
5 Centimeters per Second,2007,71713,7.4
Like Stars on Earth,2007,235048,8.3
