primaryTitle,startYear,numVotes,averageRating
I Am a Fugitive from a Chain Gang,1932,15775,8.2
Shanghai Express,1932,11897,7.3
Of Human Bondage,1934,9243,7.0
Fury,1936,14850,7.8
Dead End,1937,9695,7.2
You Only Live Once,1937,8385,7.2
Angels with Dirty Faces,1938,25007,7.8
The Letter,1940,16001,7.5
They Drive by Night,1940,10140,7.2
I Wake Up Screaming,1941,5913,7.2
The Maltese Falcon,1941,175043,7.9
Suspicion,1941,45474,7.2
The Glass Key,1942,7930,7.0
This Gun for Hire,1942,11726,7.3
Hangmen Also Die!,1943,7435,7.4
The Leopard Man,1943,6576,6.7
Phantom Lady,1944,6588,7.2
Shadow of a Doubt,1943,75850,7.7
Double Indemnity,1944,182712,8.3
Laura,1944,56423,7.9
Ministry of Fear,1944,9744,7.1
"Murder, My Sweet",1944,16490,7.5
The Thin Man Goes Home,1944,6980,7.3
The Woman in the Window,1944,19709,7.6
Detour,1945,22366,7.3
Fallen Angel,1945,7349,7.0
The House of Fear,1945,6237,7.1
Leave Her to Heaven,1945,17088,7.6
The Lost Weekend,1945,43549,7.8
Mildred Pierce,1945,31679,7.9
Scarlet Street,1945,21542,7.7
Spellbound,1945,55710,7.5
The Big Sleep,1946,94757,7.9
The Blue Dahlia,1946,10666,7.1
The Dark Corner,1946,5788,7.1
The Dark Mirror,1946,6382,7.0
Gilda,1946,37645,7.6
The Killers,1946,26355,7.7
Notorious,1946,113214,7.9
The Postman Always Rings Twice,1946,25069,7.4
The Strange Love of Martha Ivers,1946,12474,7.4
The Stranger,1946,31129,7.3
Terror by Night,1946,7774,6.7
Body and Soul,1947,5911,7.6
Born to Kill,1947,6755,7.2
Brighton Rock,1948,7686,7.2
Brute Force,1947,12834,7.5
Crossfire,1947,10980,7.2
Dark Passage,1947,24252,7.5
Dead Reckoning,1946,10084,7.0
Kiss of Death,1947,10667,7.4
Lured,1947,5857,7.0
Nightmare Alley,1947,14745,7.7
Odd Man Out,1947,13229,7.6
Out of the Past,1947,45044,7.9
Possessed,1947,6422,7.1
The Red House,1947,5687,6.7
The Big Clock,1948,11048,7.6
Call Northside 777,1948,11565,7.4
The Fallen Idol,1948,10843,7.6
Force of Evil,1948,8562,7.2
He Walked by Night,1948,7564,7.0
The Lady from Shanghai,1947,36912,7.5
The Naked City,1948,17174,7.5
Raw Deal,1948,6344,7.2
Secret Beyond the Door...,1947,6455,6.6
"Sorry, Wrong Number",1948,14384,7.3
They Live by Night,1948,10500,7.4
Act of Violence,1948,6833,7.5
All the King's Men,1949,18282,7.4
The Big Steal,1949,5843,6.9
Criss Cross,1949,10907,7.4
Impact,1949,5631,7.0
The Reckless Moment,1949,6573,7.1
Thieves' Highway,1949,7620,7.5
The Third Man,1949,196777,8.1
Too Late for Tears,1949,6615,7.3
The Asphalt Jungle,1950,33244,7.8
Caged,1950,5675,7.6
D.O.A.,1949,14290,7.2
Gun Crazy,1950,16757,7.6
In a Lonely Place,1950,39623,7.9
Night and the City,1950,16766,7.8
No Way Out,1950,7020,7.4
Panic in the Streets,1950,9590,7.2
Stage Fright,1950,17861,7.0
Sunset Boulevard,1950,263031,8.4
Where the Sidewalk Ends,1950,11240,7.5
Woman on the Run,1950,5732,7.2
Ace in the Hole,1951,42866,8.0
Detective Story,1951,10607,7.5
The Enforcer,1951,6198,7.2
His Kind of Woman,1951,5692,7.0
On Dangerous Ground,1951,9289,7.2
Strangers on a Train,1951,148747,7.9
Angel Face,1952,10228,7.2
Clash by Night,1952,8388,7.0
Don't Bother to Knock,1952,9731,6.9
Kansas City Confidential,1952,9256,7.3
The Narrow Margin,1952,9989,7.6
Sudden Fear,1952,8965,7.5
The Big Heat,1953,33030,7.9
The Blue Gardenia,1953,7262,6.8
The Hitch-Hiker,1953,12026,6.9
Niagara,1953,22642,7.0
Pickup on South Street,1953,17981,7.6
Human Desire,1954,7385,7.1
Suddenly,1954,8263,6.8
The Big Combo,1955,10093,7.3
The Desperate Hours,1955,11872,7.5
Kiss Me Deadly,1955,23877,7.5
Confidential Report,1955,10155,7.1
Beyond a Reasonable Doubt,1956,6559,6.9
The Harder They Fall,1956,10440,7.5
The Killing,1956,106674,7.9
Nightfall,1956,5786,7.1
While the City Sleeps,1956,7904,6.9
Sweet Smell of Success,1957,40466,8.0
The Wrong Man,1956,34979,7.4
Touch of Evil,1958,115371,7.9
