primaryTitle,startYear,numVotes,averageRating
Intolerance,1916,18102,7.6
Battleship Potemkin,1925,65496,7.9
Napoleon,1927,9839,8.2
October (Ten Days that Shook the World),1928,9063,7.4
The Passion of Joan of Arc,1928,68958,8.1
Queen Christina,1933,9395,7.5
Triumph of the Will,1935,18568,7.1
Captain Blood,1935,17514,7.7
The Sea Hawk,1940,11633,7.6
Sergeant York,1941,20097,7.7
For Whom the Bell Tolls,1943,11205,6.8
Day of Wrath,1943,12138,8.0
"Ivan the Terrible, Part I",1944,11862,7.6
Macbeth,1948,8535,7.4
Battleground,1949,8604,7.4
Samson and Delilah,1949,10076,6.8
Viva Zapata!,1952,13539,7.2
Julius Caesar,1953,14256,7.2
The Robe,1953,13023,6.7
Titanic,1953,8268,7.0
The Dam Busters,1955,12378,7.4
Pather Panchali,1955,42080,8.2
Sissi,1955,11221,7.0
Anastasia,1956,10350,7.0
"Ivan the Terrible, Part II: The Boyars' Plot",1946,8838,7.7
A Night to Remember,1958,19501,7.9
The Vikings,1958,17544,7.0
The Bridge,1959,9396,7.9
The Human Condition I: No Greater Love,1959,11559,8.5
The Human Condition II: Road to Eternity,1959,9247,8.5
The Alamo,1960,19780,6.8
Inherit the Wind,1960,35814,8.1
Sink the Bismarck!,1960,9259,7.2
El Cid,1961,17340,7.2
Judgment at Nuremberg,1961,97922,8.3
The Human Condition III: A Soldier's Prayer,1961,9012,8.8
The Longest Day,1962,63433,7.7
Mutiny on the Bounty,1962,19596,7.2
Cleopatra,1963,41620,7.0
The Leopard,1963,34864,7.9
Becket,1964,17191,7.7
The Fall of the Roman Empire,1964,11387,6.7
The Gospel According to St. Matthew,1964,15274,7.6
Zulu,1964,46645,7.7
The Agony and the Ecstasy,1965,8878,7.2
Battle of the Bulge,1965,19257,6.8
Chimes at Midnight,1965,11282,7.6
The Greatest Story Ever Told,1965,13546,6.6
Andrei Rublev,1966,60985,8.0
A Man for All Seasons,1966,40651,7.7
The Lion in Winter,1968,37098,7.8
The Color of Pomegranates,1969,16990,7.5
Anne of the Thousand Days,1969,8880,7.4
Battle of Britain,1969,27080,7.0
The Wild Child,1970,9601,7.4
Cromwell,1970,8148,7.0
The Decameron,1971,13838,7.0
The Garden of the Finzi-Continis,1970,8478,7.2
Tora! Tora! Tora!,1970,40098,7.5
Woodstock,1970,19567,8.1
The Devils,1971,21591,7.7
Delusions of Grandeur,1971,8925,7.2
Macbeth,1971,16162,7.4
The Emigrants,1971,8364,8.0
1776,1972,10319,7.6
Jesus Christ Superstar,1973,32925,7.4
The Enigma of Kaspar Hauser,1974,20469,7.6
The Story of Adele H,1975,9998,7.2
1900,1976,27957,7.6
All the President's Men,1976,138849,7.9
Fellini's Casanova,1976,9625,7.0
The Message,1976,54218,8.1
Midway,1976,23508,6.8
The Message,1976,12094,8.9
A Bridge Too Far,1977,68379,7.4
