primaryTitle,startYear,numVotes,averageRating
The Cabinet of Dr. Caligari,1920,76700,8.0
The Phantom Carriage,1921,15938,8.0
Häxan,1922,19432,7.6
Nosferatu,1922,124073,7.8
The Phantom of the Opera,1925,22407,7.5
Faust,1926,18523,8.1
The Unknown,1927,10371,7.7
Dracula,1931,65214,7.3
Frankenstein,1931,88425,7.7
Dr. Jekyll and Mr. Hyde,1931,17902,7.6
Freaks,1932,55175,7.8
The Most Dangerous Game,1932,15611,7.0
The Mummy,1932,33580,6.9
Vampyr,1932,23004,7.4
The Invisible Man,1933,44482,7.6
Island of Lost Souls,1932,12364,7.3
King Kong,1933,96430,7.9
The Black Cat,1934,14534,6.9
Bride of Frankenstein,1935,59381,7.8
Son of Frankenstein,1939,13525,7.1
Dr. Jekyll and Mr. Hyde,1941,10856,6.8
The Wolf Man,1941,34656,7.2
Cat People,1942,28928,7.2
I Walked with a Zombie,1943,15603,7.0
The Uninvited,1944,13667,7.2
The Body Snatcher,1945,11280,7.3
Dead of Night,1945,15997,7.5
The Picture of Dorian Gray,1945,16205,7.5
The Spiral Staircase,1946,12627,7.3
The Thing from Another World,1951,35929,7.0
House of Wax,1953,22737,7.0
Creature from the Black Lagoon,1954,38704,6.9
Diabolique,1955,73729,8.1
Godzilla,1954,45886,7.6
Them!,1954,27084,7.2
The Bad Seed,1956,17884,7.4
Invasion of the Body Snatchers,1956,60325,7.7
The Curse of Frankenstein,1957,14994,7.0
Curse of the Demon,1957,17579,7.4
Horror of Dracula,1958,30122,7.2
The Fly,1958,28166,7.1
House on Haunted Hill,1959,35068,6.7
The Hound of the Baskervilles,1959,14373,6.9
The Mummy,1959,12907,6.6
The Tingler,1959,10683,6.6
Eyes Without a Face,1960,39518,7.6
The Brides of Dracula,1960,10183,6.6
House of Usher,1960,17554,6.9
Black Sunday,1960,20268,7.1
Peeping Tom,1960,44165,7.6
Psycho,1960,791512,8.5
Village of the Damned,1960,21498,7.3
The Innocents,1961,36440,7.7
The Pit and the Pendulum,1961,18786,7.0
Carnival of Souls,1962,31490,7.0
What Ever Happened to Baby Jane?,1962,68166,8.0
The Birds,1963,221529,7.6
The Haunting,1963,44831,7.4
Black Sabbath,1963,16142,7.0
Kwaidan,1964,23146,7.9
The Masque of the Red Death,1964,18535,6.9
Onibaba,1964,26044,7.8
Blood and Black Lace,1964,15420,7.1
The Last Man on Earth,1964,23989,6.7
Dracula: Prince of Darkness,1966,12035,6.6
Repulsion,1965,61640,7.5
The Fearless Vampire Killers,1967,36195,7.0
Five Million Years to Earth,1967,12704,7.0
Viy,1967,11979,7.1
The Devil Rides Out,1968,11711,6.9
Witchfinder General,1968,13968,6.7
Night of the Living Dead,1968,152048,7.8
Rosemary's Baby,1968,260106,8.0
Hour of the Wolf,1968,25276,7.5
The Bird with the Crystal Plumage,1970,27373,7.1
The Cat o' Nine Tails,1971,14459,6.6
The Abominable Dr. Phibes,1971,18222,7.0
Don't Torture a Duckling,1972,12847,7.0
Tales from the Crypt,1972,14775,6.8
Don't Look Now,1973,69071,7.1
The Exorcist,1973,502561,8.1
The Legend of Hell House,1973,15330,6.6
Sisters,1972,23717,6.8
Theater of Blood,1973,13817,7.1
The Wicker Man,1973,106070,7.5
Black Christmas,1974,56676,7.1
Let Sleeping Corpses Lie,1974,10627,6.7
The Texas Chain Saw Massacre,1974,214702,7.4
Jaws,1975,746706,8.1
Deep Red,1975,46608,7.5
The Rocky Horror Picture Show,1975,185139,7.4
The Stepford Wives,1975,21924,6.9
Carrie,1976,230296,7.4
Eraserhead,1977,145083,7.2
The Little Girl Who Lives Down the Lane,1976,20298,7.0
The Omen,1976,147307,7.5
House,1977,40224,7.2
Suspiria,1977,116167,7.3
Dawn of the Dead,1978,137273,7.8
Halloween,1978,341660,7.7
Invasion of the Body Snatchers,1978,82957,7.4
Magic,1978,15741,6.8
Martin,1977,14173,6.9
Alien,1979,1072663,8.4
The Brood,1979,38401,6.8
Nosferatu the Vampyre,1979,49726,7.3
Phantasm,1979,45300,6.6
Zombie,1979,33609,6.8
Altered States,1980,42882,6.9
The Changeling,1980,44939,7.1
The Fog,1980,92481,6.8
The Ninth Configuration,1980,10213,6.7
Scanners,1981,68208,6.7
The Shining,1980,1238062,8.4
An American Werewolf in London,1981,135779,7.5
The Entity,1982,20593,6.7
Possession,1981,59521,7.2
Creepshow,1982,58115,6.8
The Evil Dead,1981,255664,7.3
Poltergeist,1982,196336,7.3
Tenebrae,1982,31345,7.0
The Thing,1982,532242,8.2
White Dog,1982,11738,7.0
Christine,1983,103440,6.8
The Hunger,1983,32293,6.6
Psycho II,1983,35527,6.6
Videodrome,1983,114054,7.2
The Company of Wolves,1984,21170,6.6
Gremlins,1984,276444,7.3
A Nightmare on Elm Street,1984,293585,7.4
Phenomena,1985,33439,6.7
Day of the Dead,1985,80263,7.1
Demons,1985,29898,6.6
Fright Night,1985,88835,7.0
Re-Animator,1985,79254,7.1
The Return of the Living Dead,1985,78334,7.3
Aliens,1986,845453,8.4
The Fly,1986,226504,7.6
From Beyond,1986,36209,6.6
Little Shop of Horrors,1986,95513,7.1
Night of the Creeps,1986,29042,6.7
Angel Heart,1987,105143,7.2
StageFright,1987,10813,6.6
Evil Dead II,1987,199370,7.6
Hellraiser,1987,155146,6.9
The Hidden,1987,25920,7.0
The Lost Boys,1987,179444,7.2
Near Dark,1987,50012,6.9
A Nightmare on Elm Street 3: Dream Warriors,1987,100736,6.7
Opera,1987,21937,6.9
Predator,1987,504865,7.8
Prince of Darkness,1987,56042,6.7
A Chinese Ghost Story,1987,12810,7.3
The Stepfather,1987,20970,6.7
The Witches of Eastwick,1987,84883,6.6
Amsterdamned,1988,11321,6.6
The Blob,1988,49657,6.7
Child's Play,1988,133346,6.7
Dead Ringers,1988,59393,7.2
Elvira: Mistress of the Dark,1988,23292,6.6
Tetsuo: The Iron Man,1989,29385,6.9
They Live,1988,166120,7.2
Dead Calm,1989,48867,6.8
Santa Sangre,1989,25803,7.5
Flatliners,1990,98852,6.6
Jacob's Ladder,1990,130410,7.4
Night of the Living Dead,1990,49364,6.8
