primaryTitle,startYear,numVotes,averageRating
The Phantom of the Opera,1925,22407,7.5
The Cocoanuts,1929,8906,6.8
Animal Crackers,1930,16250,7.4
The Blue Angel,1930,17771,7.6
Monkey Business,1931,13789,7.4
Horse Feathers,1932,14220,7.5
Duck Soup,1933,64299,7.7
42nd Street,1933,13957,7.3
Gold Diggers of 1933,1933,10133,7.7
The Gay Divorcee,1934,9402,7.3
A Night at the Opera,1935,36680,7.8
Top Hat,1935,22308,7.7
The Great Ziegfeld,1936,9872,6.6
Swing Time,1936,15692,7.4
A Day at the Races,1937,15447,7.5
Shall We Dance,1937,8441,7.4
At the Circus,1939,6896,6.8
Holiday Inn,1942,19583,7.3
Going My Way,1944,14918,7.0
Anchors Aweigh,1945,10087,7.0
It Happened on Fifth Avenue,1947,7656,7.6
Easter Parade,1948,12164,7.3
The Red Shoes,1948,44039,8.1
On the Town,1949,20033,7.3
An American in Paris,1951,39660,7.1
Royal Wedding,1951,6734,6.7
Limelight,1952,24161,8.0
Moulin Rouge,1952,7379,7.0
Singin' in the Rain,1952,284875,8.3
The Band Wagon,1953,13691,7.4
Calamity Jane,1953,12308,7.2
Gentlemen Prefer Blondes,1953,46839,7.1
Kiss Me Kate,1953,7340,7.0
Brigadoon,1954,10135,6.8
The Country Girl,1954,7418,7.2
The Glenn Miller Story,1954,10613,7.3
Seven Brides for Seven Brothers,1954,28269,7.3
A Star Is Born,1954,21151,7.5
White Christmas,1954,57162,7.6
Guys and Dolls,1955,21039,7.1
Oklahoma!,1955,15918,7.0
The Burmese Harp,1956,7300,8.0
High Society,1956,19320,6.9
The King and I,1956,29744,7.4
A Face in the Crowd,1957,19383,8.1
Funny Face,1957,35846,7.0
Thirst,1957,8370,8.3
Gigi,1958,25095,6.6
The Music Room,1958,7429,7.8
King Creole,1958,7164,7.0
South Pacific,1958,11110,6.8
Black Orpheus,1959,13582,7.4
Shadows,1958,13672,7.2
Some Like It Hot,1959,306486,8.2
West Side Story,1961,128426,7.6
Cleo from 5 to 7,1962,32067,7.8
The Music Man,1962,20966,7.7
Bye Bye Birdie,1963,10505,6.6
A Hard Day's Night,1964,50226,7.5
My Fair Lady,1964,108342,7.7
The Umbrellas of Cherbourg,1964,35442,7.8
Help!,1965,21376,7.1
A Funny Thing Happened on the Way to the Forum,1966,10763,6.8
Bob Dylan: Dont Look Back,1967,11068,7.9
Thoroughly Modern Millie,1967,7717,6.9
The Young Girls of Rochefort,1967,13928,7.7
Oliver!,1968,44692,7.4
Padosan,1968,10305,8.1
The Producers,1967,64335,7.5
"Hello, Dolly!",1969,18703,7.1
Paint Your Wagon,1969,16295,6.6
Sweet Charity,1969,7817,6.9
Gimme Shelter,1970,13858,7.8
Let It Be,1970,8794,7.6
Donkey Skin,1970,7960,7.0
Woodstock,1970,19567,8.1
Anand,1971,37779,8.1
Fiddler on the Roof,1971,52583,8.0
Cabaret,1972,64147,7.8
Pink Floyd: Live at Pompeii,1972,11630,8.6
The Ruling Class,1972,7352,7.2
The Harder They Come,1972,7671,6.8
Jesus Christ Superstar,1973,32925,7.4
Nashville,1975,31728,7.6
The Rocky Horror Picture Show,1975,185139,7.4
Tommy,1975,24632,6.6
The Song Remains the Same,1976,9715,7.6
"New York, New York",1977,23934,6.6
Saturday Night Fever,1977,95531,6.8
The Buddy Holly Story,1978,10937,7.3
Grease,1978,328717,7.2
Autumn Sonata,1978,42964,8.1
The Last Waltz,1978,22318,8.1
Up in Smoke,1978,43822,6.9
All That Jazz,1979,41042,7.8
Hair,1979,44568,7.5
Quadrophenia,1979,22733,7.2
Rock 'n' Roll High School,1979,12330,6.6
The Rose,1979,9902,7.0
Coal Miner's Daughter,1980,22410,7.5
Fame,1980,26603,6.6
Diva,1981,15430,7.1
History of the World: Part I,1981,59445,6.8
Fitzcarraldo,1982,43485,7.9
Honkytonk Man,1982,10330,6.6
Monty Python Live at the Hollywood Bowl,1982,15139,7.8
Pink Floyd: The Wall,1982,90398,8.0
Victor/Victoria,1982,25798,7.6
Eddie and the Cruisers,1983,9833,6.9
Koyaanisqatsi,1982,45008,8.2
Monty Python's the Meaning of Life,1983,130601,7.5
Tender Mercies,1983,14595,7.3
Yentl,1983,17570,6.6
Amadeus,1984,471711,8.4
The Cotton Club,1984,21310,6.6
The Ship Sails On,1983,7442,7.4
Footloose,1984,102675,6.6
Stop Making Sense,1984,24406,8.7
This Is Spinal Tap,1984,161279,7.9
Top Secret!,1984,83385,7.2
White Nights,1985,9161,6.7
Crossroads,1986,19570,7.1
Little Shop of Horrors,1986,95513,7.1
Sid and Nancy,1986,37168,7.0
True Stories,1986,8536,7.3
Shadows in Paradise,1986,8824,7.4
