primaryTitle,startYear,numVotes,averageRating
The Cocoanuts,1929,8906,6.8
Animal Crackers,1930,16250,7.4
Monkey Business,1931,13789,7.4
Horse Feathers,1932,14220,7.5
Duck Soup,1933,64299,7.7
Footlight Parade,1933,6712,7.5
42nd Street,1933,13957,7.3
Gold Diggers of 1933,1933,10133,7.7
The Gay Divorcee,1934,9402,7.3
A Night at the Opera,1935,36680,7.8
Top Hat,1935,22308,7.7
The Great Ziegfeld,1936,9872,6.6
Swing Time,1936,15692,7.4
A Day at the Races,1937,15447,7.5
Shall We Dance,1937,8441,7.4
At the Circus,1939,6896,6.8
Cover Girl,1944,6471,6.7
Anchors Aweigh,1945,10087,7.0
Easter Parade,1948,12164,7.3
On the Town,1949,20033,7.3
An American in Paris,1951,39660,7.1
Royal Wedding,1951,6734,6.7
Singin' in the Rain,1952,284875,8.3
The Band Wagon,1953,13691,7.4
Calamity Jane,1953,12308,7.2
Gentlemen Prefer Blondes,1953,46839,7.1
Kiss Me Kate,1953,7340,7.0
Brigadoon,1954,10135,6.8
Carmen Jones,1954,6447,6.7
Seven Brides for Seven Brothers,1954,28269,7.3
A Star Is Born,1954,21151,7.5
White Christmas,1954,57162,7.6
Guys and Dolls,1955,21039,7.1
Oklahoma!,1955,15918,7.0
High Society,1956,19320,6.9
The King and I,1956,29744,7.4
Funny Face,1957,35846,7.0
Pal Joey,1957,6356,6.6
Thirst,1957,8370,8.3
Gigi,1958,25095,6.6
King Creole,1958,7164,7.0
South Pacific,1958,11110,6.8
Black Orpheus,1959,13582,7.4
West Side Story,1961,128426,7.6
The Music Man,1962,20966,7.7
Bye Bye Birdie,1963,10505,6.6
A Hard Day's Night,1964,50226,7.5
My Fair Lady,1964,108342,7.7
The Umbrellas of Cherbourg,1964,35442,7.8
Help!,1965,21376,7.1
A Funny Thing Happened on the Way to the Forum,1966,10763,6.8
Thoroughly Modern Millie,1967,7717,6.9
The Young Girls of Rochefort,1967,13928,7.7
Oliver!,1968,44692,7.4
Padosan,1968,10305,8.1
"Hello, Dolly!",1969,18703,7.1
Paint Your Wagon,1969,16295,6.6
Donkey Skin,1970,7960,7.0
Anand,1971,37779,8.1
Fiddler on the Roof,1971,52583,8.0
Cabaret,1972,64147,7.8
The Ruling Class,1972,7352,7.2
Jesus Christ Superstar,1973,32925,7.4
The Rocky Horror Picture Show,1975,185139,7.4
Tommy,1975,24632,6.6
"New York, New York",1977,23934,6.6
Grease,1978,328717,7.2
All That Jazz,1979,41042,7.8
Hair,1979,44568,7.5
Fame,1980,26603,6.6
History of the World: Part I,1981,59445,6.8
Monty Python Live at the Hollywood Bowl,1982,15139,7.8
Monty Python's the Meaning of Life,1983,130601,7.5
Sagara Sangamam,1983,6558,8.7
Yentl,1983,17570,6.6
Little Shop of Horrors,1986,95513,7.1
True Stories,1986,8536,7.3
Qayamat Se Qayamat Tak,1988,11944,7.4
Maine Pyar Kiya,1989,14078,7.3
Saajan,1991,8191,7.2
Khiladi,1992,8989,7.1
Roja,1992,14855,8.1
Baazigar,1993,32124,7.6
Robin Hood: Men in Tights,1993,146842,6.7
Hum Aapke Hain Koun..!,1994,24467,7.5
Bombay,1995,15268,8.1
Rangeela,1995,11191,7.4
Cannibal! The Musical,1993,13910,6.9
Everyone Says I Love You,1996,41448,6.7
Indian,1996,16168,8.1
Dil To Pagal Hai,1997,27199,7.0
Pardes,1997,17268,6.9
Yes Boss,1997,15239,6.7
Straight from the Heart,1999,21154,7.4
Taal,1999,6534,6.7
Dancer in the Dark,2000,124797,7.9
Lagaan: Once Upon a Time in India,2001,130223,8.1
Kuch Kuch Hota Hai,1998,63240,7.5
Raju Ban Gaya Gentleman,1992,8920,6.7
Moulin Rouge!,2001,316141,7.5
Mohabbatein,2000,37710,7.1
Chithram,1988,6905,8.7
Kaho Naa... Pyaar Hai,2000,18783,6.9
Devdas,2002,52631,7.6
Alai Payuthey,2000,9039,8.3
Kabhi Khushi Kabhie Gham...,2001,63585,7.5
8 Women,2002,34978,7.0
The Phantom of the Opera,2004,139409,7.2
Rent,2005,58399,6.9
Rehnaa Hai Terre Dil Mein,2001,10219,7.5
Chicago,2002,258000,7.2
Kannathil Muthamittal,2002,10858,8.3
Kal Ho Naa Ho,2003,82303,7.9
The Saddest Music in the World,2003,6601,7.0
Swades,2004,106922,8.2
The Music Man,2007,10012,7.5
Terkel in Trouble,2004,13334,7.1
Sweeney Todd: The Demon Barber of Fleet Street,2007,408425,7.3
Veer Zaara,2004,67129,7.8
Hairspray,2007,146460,6.7
Parineeta,2005,10128,7.2
Dreamgirls,2006,81253,6.6
No Entry,2005,14191,6.6
Vivah,2006,12275,6.7
Sugar Pie Lady,1983,7324,7.9
Memories of Matsuko,2006,9681,7.8
Life in a Metro,2007,15278,7.4
Once,2006,126225,7.8
Love Songs,2007,10596,7.0
Hridayam,2022,21355,8.0
Thiruchitrambalam,2022,19130,7.9
Vaaranam Aayiram,2008,15978,8.2
The Color Purple,2023,20716,6.8
Wicked,2024,255620,7.3
In the Heights,2021,56182,7.2
The Greatest Showman,2017,351657,7.5
Satyaprem Ki Katha,2023,31881,6.6
Ayirathil Oruvan,2010,8601,8.1
Thulladha Manamum Thullum,1999,7306,8.3
Vinnaithaandi Varuvaayaa,2010,7728,8.1
Monpura,2009,10022,8.8
Les Misérables,2012,364070,7.5
Les Misérables in Concert: The 25th Anniversary,2010,6845,8.8
Ko,2011,7048,7.9
Deiva Thirumagal,2011,7467,8.3
The Phantom of the Opera at the Royal Albert Hall,2011,10927,8.8
Sita Ramam,2022,85047,8.5
Yeh Jawaani Hai Deewani,2013,58708,7.3
Thuppakki,2012,41582,8.1
Aashiqui 2,2013,38824,7.1
Ustad Hotel,2012,19008,8.2
Poove Unakkaga,1996,7678,8.5
PK,2014,225193,8.1
Sunshine on Leith,2013,7751,6.6
Taylor Swift: The Eras Tour,2023,26140,8.0
West Side Story,2021,144570,7.1
Bangalore Days,2014,28535,8.3
OK Kanmani,2015,8137,7.4
Premam,2015,28677,8.3
Sanam Teri Kasam,2016,23203,7.6
The Ballad of Buster Scruggs,2018,186154,7.2
Mamma Mia! Here We Go Again,2018,122369,6.6
