primaryTitle,startYear,numVotes,averageRating
The Cabinet of Dr. Caligari,1920,76700,8.0
"Dr. Mabuse, the Gambler",1922,10018,7.8
The Lodger: A Story of the London Fog,1927,15229,7.3
Blackmail,1929,13655,6.9
M,1931,183896,8.3
The Testament of Dr. Mabuse,1933,14719,7.9
The Man Who Knew Too Much,1934,23698,6.7
The Thin Man,1934,35486,7.9
The 39 Steps,1935,66648,7.6
After the Thin Man,1936,13264,7.6
Young and Innocent,1937,12199,6.8
The Lady Vanishes,1938,61808,7.7
The Hound of the Baskervilles,1939,13072,7.4
Rebecca,1940,161847,8.0
Citizen Kane,1941,495446,8.2
Suspicion,1941,45474,7.2
The Wolf Man,1941,34656,7.2
Le Corbeau,1943,11994,7.8
Shadow of a Doubt,1943,75850,7.7
Gaslight,1944,38200,7.8
Laura,1944,56423,7.9
The Uninvited,1944,13667,7.2
And Then There Were None,1945,18753,7.3
Spellbound,1945,55710,7.5
Great Expectations,1946,28535,7.8
Notorious,1946,113214,7.9
The Spiral Staircase,1946,12627,7.3
The Fallen Idol,1948,10843,7.6
Rope,1948,166084,7.9
"Sorry, Wrong Number",1948,14384,7.3
Stray Dog,1949,21104,7.8
The Third Man,1949,196777,8.1
In a Lonely Place,1950,39623,7.9
Rashomon,1950,198096,8.1
Stage Fright,1950,17861,7.0
The Barefoot Contessa,1954,14593,6.9
Dial M for Murder,1954,206307,8.1
Rear Window,1954,572127,8.4
Bad Day at Black Rock,1955,27012,7.6
To Catch a Thief,1955,87377,7.4
The Trouble with Harry,1955,43250,7.0
The Man Who Knew Too Much,1956,76683,7.4
Curse of the Demon,1957,17579,7.4
Witness for the Prosecution,1957,163618,8.4
House on Haunted Hill,1959,35068,6.7
Vertigo,1958,461361,8.2
Anatomy of a Murder,1959,78358,8.0
The Hound of the Baskervilles,1959,14373,6.9
North by Northwest,1959,370677,8.3
"Suddenly, Last Summer",1959,19226,7.4
L'Avventura,1960,37306,7.7
Psycho,1960,791512,8.5
Last Year at Marienbad,1961,27227,7.6
The Innocents,1961,36440,7.7
The Pit and the Pendulum,1961,18786,7.0
Carnival of Souls,1962,31490,7.0
Harakiri,1962,93248,8.6
The Birds,1963,221529,7.6
Charade,1963,94306,7.8
The Trial,1962,27131,7.6
Shock Corridor,1963,14112,7.3
High and Low,1963,73002,8.4
"Hush...Hush, Sweet Charlotte",1964,17605,7.5
The Killers,1964,10558,7.0
Marnie,1964,57951,7.1
A Shot in the Dark,1964,34295,7.3
Alphaville,1965,30296,6.9
Bunny Lake Is Missing,1965,11323,7.3
Blow-Up,1966,73122,7.4
Harper,1966,12349,6.8
In the Heat of the Night,1967,92122,7.9
The Bride Wore Black,1968,11636,7.2
Five Million Years to Earth,1967,12704,7.0
The Boston Strangler,1968,12099,7.0
Teorema,1968,17130,7.0
Hour of the Wolf,1968,25276,7.5
The Butcher,1970,10499,7.3
The Bird with the Crystal Plumage,1970,27373,7.1
The Cat o' Nine Tails,1971,14459,6.6
The Andromeda Strain,1971,44606,7.2
Klute,1971,34183,7.1
El Topo,1970,33524,7.2
The Tall Blond Man with One Black Shoe,1972,10287,7.2
Don't Torture a Duckling,1972,12847,7.0
Sleuth,1972,53157,7.9
Solaris,1972,104852,7.9
Tales from the Crypt,1972,14775,6.8
Don't Look Now,1973,69071,7.1
The Last of Sheila,1973,10293,7.2
Magnum Force,1973,72218,7.2
Sisters,1972,23717,6.8
Soylent Green,1973,74666,7.0
The Wicker Man,1973,106070,7.5
Black Christmas,1974,56676,7.1
Chinatown,1974,378853,8.1
The Conversation,1974,137030,7.7
Murder on the Orient Express,1974,75217,7.2
The Parallax View,1974,25005,7.1
The Return of the Pink Panther,1975,32661,7.0
Breakheart Pass,1975,10461,6.7
"Farewell, My Lovely",1975,11059,7.0
Night Moves,1975,21589,7.1
Picnic at Hanging Rock,1975,46304,7.3
Deep Red,1975,46608,7.5
The Stepford Wives,1975,21924,6.9
Three Days of the Condor,1975,69770,7.4
The Little Girl Who Lives Down the Lane,1976,20298,7.0
Mr. Klein,1976,10689,7.5
Murder by Death,1976,45979,7.2
Obsession,1976,13573,6.7
The Omen,1976,147307,7.5
3 Women,1977,20080,7.7
The American Friend,1977,21452,7.4
High Anxiety,1977,25989,6.6
The Last Wave,1977,12524,6.9
The Boys from Brazil,1978,34193,7.0
Coma,1978,23115,6.9
Death on the Nile,1978,44961,7.3
Foul Play,1978,19678,6.8
Revenge of the Pink Panther,1978,25216,6.6
Apocalypse Now,1979,775533,8.4
Bad Timing,1980,10435,6.9
The Changeling,1980,44939,7.1
Dressed to Kill,1980,55988,7.0
The Long Good Friday,1980,30051,7.5
Blow Out,1981,77370,7.4
Road Games,1981,11098,6.6
Dead Men Don't Wear Plaid,1982,25971,6.8
The Draughtsman's Contract,1982,12071,7.2
Evil Under the Sun,1982,24261,7.1
The Ballad of Narayama,1983,10049,7.8
Tenebrae,1982,31345,7.0
The Thing,1982,532242,8.2
Gorky Park,1983,18431,6.7
Psycho II,1983,35527,6.6
Something Wicked This Way Comes,1983,13035,6.7
2010: The Year We Make Contact,1984,61468,6.7
Body Double,1984,45821,6.8
Phenomena,1985,33439,6.7
A Soldier's Story,1984,12717,7.2
Clue,1985,124382,7.3
Fletch,1985,61844,6.9
The Quiet Earth,1985,29657,6.7
Young Sherlock Holmes,1985,25440,6.8
Blue Velvet,1986,247771,7.7
Crossroads,1986,19570,7.1
The Hitcher,1986,59683,7.2
Manhunter,1986,92911,7.2
The Name of the Rose,1986,128040,7.7
Angel Heart,1987,105143,7.2
Opera,1987,21937,6.9
Suspect,1987,13141,6.6
Frantic,1988,62012,6.8
Mississippi Burning,1988,128335,7.8
The Vanishing,1988,55628,7.6
Without a Clue,1988,12203,6.9
The 'Burbs,1989,93101,6.8
The Abyss,1989,210038,7.5
Sea of Love,1989,49038,6.8
Jacob's Ladder,1990,130410,7.4
Presumed Innocent,1990,53323,6.9
Reversal of Fortune,1990,21667,7.1
