primaryTitle,startYear,numVotes,averageRating
Broken Blossoms,1919,11828,7.2
Our Hospitality,1923,13647,7.7
Safety Last!,1923,25065,8.1
Sherlock Jr.,1924,66649,8.1
Seven Chances,1925,13348,7.8
Sunrise,1927,56977,8.1
The Unknown,1927,10371,7.7
Wings,1927,16474,7.5
Pandora's Box,1929,13014,7.7
The Circus,1928,38800,8.1
The Crowd,1928,10096,8.0
The Cocoanuts,1929,8906,6.8
The Blue Angel,1930,17771,7.6
Morocco,1930,8493,7.0
City Lights,1931,217699,8.5
Grand Hotel,1932,22857,7.3
Tarzan the Ape Man,1932,8989,6.9
Trouble in Paradise,1932,17646,7.9
Baby Face,1933,9325,7.5
Design for Living,1933,8669,7.4
Little Women,1933,8583,7.1
L'Atalante,1934,18765,7.7
The Black Cat,1934,14534,6.9
The Gay Divorcee,1934,9402,7.3
It Happened One Night,1934,120325,8.1
Of Human Bondage,1934,9243,7.0
Top Hat,1935,22308,7.7
Dodsworth,1936,11194,7.7
Libeled Lady,1936,9726,7.8
Modern Times,1936,287018,8.5
Mr. Deeds Goes to Town,1936,25151,7.8
My Man Godfrey,1936,28850,7.9
Swing Time,1936,15692,7.4
The Awful Truth,1937,23461,7.6
Camille,1936,9580,7.3
Make Way for Tomorrow,1937,10708,8.1
My Favorite Wife,1940,12710,7.2
Pépé le Moko,1937,8785,7.6
Shall We Dance,1937,8441,7.4
Stage Door,1937,9893,7.7
A Star Is Born,1937,11978,7.3
Topper,1937,9164,7.2
The Adventures of Robin Hood,1938,58001,7.9
Holiday,1938,20309,7.7
Jezebel,1938,16549,7.4
Pygmalion,1938,10575,7.7
Port of Shadows,1938,10943,7.7
You Can't Take It with You,1938,30588,7.8
Dark Victory,1939,13566,7.4
Gone with the Wind,1939,357671,8.2
"Goodbye, Mr. Chips",1939,12425,7.9
The Hunchback of Notre Dame,1939,13407,7.8
Daybreak,1939,8925,7.6
Ninotchka,1939,25041,7.8
Only Angels Have Wings,1939,17550,7.6
Wuthering Heights,1939,22973,7.5
Foreign Correspondent,1940,26285,7.4
His Girl Friday,1940,68384,7.8
The Philadelphia Story,1940,79001,7.8
Pride and Prejudice,1940,10137,7.3
Rebecca,1940,161847,8.0
Remember the Night,1939,8386,7.5
The Shop Around the Corner,1940,44546,8.0
Waterloo Bridge,1940,11955,7.7
Ball of Fire,1941,16127,7.7
The Lady Eve,1941,25660,7.7
The Little Foxes,1941,14259,7.9
The Man Who Came to Dinner,1941,9875,7.5
Meet John Doe,1941,16518,7.6
Penny Serenade,1941,8962,7.1
The Wolf Man,1941,34656,7.2
Casablanca,1942,659023,8.5
I Married a Witch,1942,10954,7.1
The Magnificent Ambersons,1942,28889,7.6
The Major and the Minor,1942,8592,7.3
Mrs. Miniver,1942,21477,7.6
"Now, Voyager",1942,20968,7.8
Obsession,1943,9108,7.5
The Palm Beach Story,1942,13849,7.4
The Pride of the Yankees,1942,13000,7.6
Random Harvest,1942,9383,7.9
The Talk of the Town,1942,10062,7.5
To Be or Not to Be,1942,50201,8.1
Woman of the Year,1942,11950,7.1
The Life and Death of Colonel Blimp,1943,18392,8.0
The More the Merrier,1943,8377,7.6
The Best Years of Our Lives,1946,76851,8.1
Jane Eyre,1943,10409,7.4
The Miracle of Morgan's Creek,1943,8445,7.5
Brief Encounter,1945,49041,8.0
Christmas in Connecticut,1945,13819,7.3
Children of Paradise,1945,22660,8.3
I Know Where I'm Going!,1945,11497,7.4
Leave Her to Heaven,1945,17088,7.6
A Tree Grows in Brooklyn,1945,9110,8.0
Beauty and the Beast,1946,29997,7.9
Duel in the Sun,1946,10562,6.7
Gilda,1946,37645,7.6
A Matter of Life and Death,1946,28153,8.0
My Darling Clementine,1946,28761,7.7
The Strange Love of Martha Ivers,1946,12474,7.4
The Bachelor and the Bobby-Soxer,1947,10387,7.2
Gentleman's Agreement,1947,19295,7.2
Easter Parade,1948,12164,7.3
A Foreign Affair,1948,9561,7.3
Letter from an Unknown Woman,1948,15002,7.8
Mr. Blandings Builds His Dream House,1948,13759,7.2
The Red Shoes,1948,44039,8.1
Drunken Angel,1948,14961,7.6
Adam's Rib,1949,24622,7.4
The Fountainhead,1949,11881,7.0
The Heiress,1949,19182,8.1
I Was a Male War Bride,1949,9913,7.0
A Letter to Three Wives,1949,11823,7.6
Little Women,1949,9017,7.2
On the Town,1949,20033,7.3
Orpheus,1950,14657,7.8
Sands of Iwo Jima,1949,12492,7.0
Born Yesterday,1950,13715,7.5
Broken Arrow,1950,10891,7.1
Father of the Bride,1950,13642,7.1
Rio Grande,1950,19554,7.0
The African Queen,1951,87940,7.7
An American in Paris,1951,39660,7.1
Early Summer,1951,10811,8.0
A Place in the Sun,1951,27166,7.7
Quo Vadis,1951,18639,7.1
The Bad and the Beautiful,1952,17949,7.7
Clash by Night,1952,8388,7.0
The Quiet Man,1952,46218,7.7
Singin' in the Rain,1952,284875,8.3
Othello,1951,10266,7.5
The Band Wagon,1953,13691,7.4
Calamity Jane,1953,12308,7.2
From Here to Eternity,1953,54700,7.6
Gentlemen Prefer Blondes,1953,46839,7.1
Hondo,1953,14140,7.0
How to Marry a Millionaire,1953,27054,6.8
The Earrings of Madame De...,1953,12234,7.8
Mogambo,1953,10048,6.6
The Robe,1953,13023,6.7
Roman Holiday,1953,158391,8.0
Summer with Monika,1953,17986,7.5
Journey to Italy,1954,14018,7.2
Brigadoon,1954,10135,6.8
Hobson's Choice,1954,10178,7.7
Magnificent Obsession,1954,8726,7.0
Sabrina,1954,76458,7.6
Senso,1954,10130,7.4
Seven Brides for Seven Brothers,1954,28269,7.3
A Star Is Born,1954,21151,7.5
White Christmas,1954,57162,7.6
The Wild One,1953,19255,6.7
All That Heaven Allows,1955,18734,7.6
The Far Country,1954,9617,7.1
The Man with the Golden Arm,1955,13503,7.3
Marty,1955,30925,7.6
Oklahoma!,1955,15918,7.0
Picnic,1955,10750,7.0
The Seven Year Itch,1955,45863,7.0
Smiles of a Summer Night,1955,15830,7.7
Summertime,1955,11502,7.1
To Catch a Thief,1955,87377,7.4
We're No Angels,1955,12276,7.3
Friendly Persuasion,1956,8522,7.3
High Society,1956,19320,6.9
War and Peace,1956,11855,6.7
An Affair to Remember,1957,35949,7.4
Desk Set,1957,10513,7.2
Funny Face,1957,35846,7.0
The Cranes Are Flying,1957,22889,8.3
White Nights,1957,10431,7.7
Thirst,1957,8370,8.3
Sayonara,1957,8961,7.0
Wild Strawberries,1957,125375,8.1
Auntie Mame,1958,13930,7.9
The Big Country,1958,24649,7.9
Gigi,1958,25095,6.6
Indiscreet,1958,11283,6.8
Ashes and Diamonds,1958,15146,7.7
Separate Tables,1958,9913,7.3
Some Came Running,1958,8307,7.2
South Pacific,1958,11110,6.8
Vertigo,1958,461361,8.2
Ballad of a Soldier,1959,12391,8.2
The Fugitive Kind,1960,8325,7.0
Hiroshima Mon Amour,1959,39710,7.8
The Horse Soldiers,1959,13199,7.1
On the Beach,1959,16312,7.1
Operation Petticoat,1959,17785,7.2
Black Orpheus,1959,13582,7.4
Pillow Talk,1959,21160,7.4
Room at the Top,1958,8308,7.5
Shadows,1958,13672,7.2
Some Like It Hot,1959,306486,8.2
The Apartment,1960,222238,8.3
L'Avventura,1960,37306,7.7
Mughal-E-Azam,1960,9695,8.1
North to Alaska,1960,9291,6.9
Saturday Night and Sunday Morning,1960,10103,7.5
The Time Machine,1960,47607,7.5
Last Year at Marienbad,1961,27227,7.6
Breakfast at Tiffany's,1961,205813,7.5
The Children's Hour,1961,21187,7.8
Jules and Jim,1962,47163,7.6
Lola,1961,8561,7.4
Lover Come Back,1961,9785,7.1
The Misfits,1961,24758,7.2
The Parent Trap,1961,26573,7.2
Splendor in the Grass,1961,23053,7.7
A Woman Is a Woman,1961,20609,7.3
Divorce Italian Style,1961,15851,7.9
Lolita,1962,116799,7.5
Sweet Bird of Youth,1962,9346,7.1
That Touch of Mink,1962,11818,6.6
L'Eclisse,1962,24646,7.7
Charade,1963,94306,7.8
Donovan's Reef,1963,10850,6.7
"Yesterday, Today and Tomorrow",1963,11531,7.2
Irma la Douce,1963,24407,7.3
Contempt,1963,39576,7.4
The Nutty Professor,1963,19540,6.6
The Pink Panther,1963,62229,7.0
Father Goose,1964,13699,7.3
"Kiss Me, Stupid",1964,9518,6.9
Marriage Italian Style,1964,12773,7.4
My Fair Lady,1964,108342,7.7
The Umbrellas of Cherbourg,1964,35442,7.8
The Soft Skin,1964,9182,7.5
Shadows of Forgotten Ancestors,1965,9724,7.8
Happiness,1965,12043,7.6
Darling,1965,8791,7.0
Doctor Zhivago,1965,87811,7.9
Guide,1965,12989,8.4
In Harm's Way,1965,11556,7.3
Loves of a Blonde,1965,10324,7.4
A Patch of Blue,1965,10340,8.0
Pierrot le Fou,1965,40436,7.4
The Fortune Cookie,1966,17384,7.2
How to Steal a Million,1966,32495,7.5
Masculine Feminine,1966,19200,7.3
Closely Watched Trains,1966,15160,7.6
The Sand Pebbles,1966,17949,7.5
Torn Curtain,1966,31872,6.6
A Man and a Woman,1966,13789,7.5
Barefoot in the Park,1967,22991,7.0
Bedazzled,1967,10457,6.7
Belle de Jour,1967,53846,7.6
The Taming of The Shrew,1967,9611,7.0
The Collector,1967,10985,7.3
El Dorado,1966,33762,7.5
The Graduate,1967,303307,8.0
Reflections in a Golden Eye,1967,8868,6.7
Two for the Road,1967,15785,7.3
