primaryTitle,startYear,numVotes,averageRating
Metropolis,1927,202490,8.2
Frankenstein,1931,88425,7.7
Dr. Jekyll and Mr. Hyde,1931,17902,7.6
The Invisible Man,1933,44482,7.6
Island of Lost Souls,1932,12364,7.3
Bride of Frankenstein,1935,59381,7.8
Things to Come,1936,10260,6.6
Son of Frankenstein,1939,13525,7.1
Dr. Jekyll and Mr. Hyde,1941,10856,6.8
The Day the Earth Stood Still,1951,89194,7.7
The Thing from Another World,1951,35929,7.0
When Worlds Collide,1951,10507,6.6
The Man in the White Suit,1951,11778,7.2
Monkey Business,1952,16883,6.9
The War of the Worlds,1953,42110,7.0
Creature from the Black Lagoon,1954,38704,6.9
Godzilla,1954,45886,7.6
Them!,1954,27084,7.2
Forbidden Planet,1956,57631,7.5
Invasion of the Body Snatchers,1956,60325,7.7
The Curse of Frankenstein,1957,14994,7.0
The Fly,1958,28166,7.1
On the Beach,1959,16312,7.1
The Tingler,1959,10683,6.6
The Time Machine,1960,47607,7.5
Village of the Damned,1960,21498,7.3
The Absent Minded Professor,1961,10184,6.7
The Nutty Professor,1963,19540,6.6
The Last Man on Earth,1964,23989,6.7
Fahrenheit 451,1966,47754,7.2
Fantastic Voyage,1966,22620,6.8
Seconds,1966,23944,7.6
The Face of Another,1966,12236,7.8
Five Million Years to Earth,1967,12704,7.0
2001: A Space Odyssey,1968,789723,8.3
Planet of the Apes,1968,210721,8.0
Colossus: The Forbin Project,1970,11758,7.1
THX 1138,1971,57892,6.6
The Andromeda Strain,1971,44606,7.2
A Clockwork Orange,1971,942007,8.2
Silent Running,1972,33909,6.6
Slaughterhouse-Five,1972,14926,6.8
Ivan Vasilyevich Changes His Profession,1973,20604,8.2
Fantastic Planet,1973,43046,7.6
Sleeper,1973,45584,7.1
Soylent Green,1973,74666,7.0
Westworld,1973,67978,6.9
Let Sleeping Corpses Lie,1974,10627,6.7
The Stepford Wives,1975,21924,6.9
Logan's Run,1976,66178,6.8
The Man Who Fell to Earth,1976,31532,6.6
Close Encounters of the Third Kind,1977,237833,7.6
Battlestar Galactica,1978,11833,6.8
The Boys from Brazil,1978,34193,7.0
Invasion of the Body Snatchers,1978,82957,7.4
Superman,1978,208250,7.4
Alien,1979,1072663,8.4
The Brood,1979,38401,6.8
Mad Max,1979,246360,6.8
Phantasm,1979,45300,6.6
Stalker,1979,157383,8.0
Time After Time,1979,21476,7.0
Altered States,1980,42882,6.9
Star Wars: Episode V - The Empire Strikes Back,1980,1517801,8.7
The Final Countdown,1980,30280,6.7
Scanners,1981,68208,6.7
Superman II,1980,124481,6.8
Escape from New York,1981,174664,7.1
The Road Warrior,1981,214542,7.6
Outland,1981,35856,6.6
Blade Runner,1982,887843,8.1
E.T. the Extra-Terrestrial,1982,475161,7.9
Star Trek II: The Wrath of Khan,1982,136556,7.7
The Thing,1982,532242,8.2
Tron,1982,147162,6.7
Strange Brew,1983,20278,6.6
Videodrome,1983,114054,7.2
WarGames,1983,122688,7.1
2010: The Year We Make Contact,1984,61468,6.7
Nausicaä of the Valley of the Wind,1984,198716,8.0
The Last Starfighter,1984,50199,6.7
1984,1984,89025,7.0
Repo Man,1984,45962,6.8
Sexmission,1984,15900,7.5
Star Trek III: The Search for Spock,1984,91218,6.7
Starman,1984,59035,7.0
The Terminator,1984,1013731,8.1
Back to the Future,1985,1468481,8.5
Brazil,1985,222651,7.8
Cocoon,1985,73868,6.7
The Quiet Earth,1985,29657,6.7
Re-Animator,1985,79254,7.1
Real Genius,1985,41646,6.9
The Return of the Living Dead,1985,78334,7.3
Weird Science,1985,106476,6.6
The Fly,1986,226504,7.6
From Beyond,1986,36209,6.6
Kin-dza-dza!,1986,15512,7.8
Night of the Creeps,1986,29042,6.7
Short Circuit,1986,71218,6.6
Star Trek IV: The Voyage Home,1986,97235,7.3
The Hidden,1987,25920,7.0
RoboCop,1987,311074,7.6
The Running Man,1987,192776,6.6
Spaceballs,1987,228172,7.1
The Blob,1988,49657,6.7
Tetsuo: The Iron Man,1989,29385,6.9
They Live,1988,166120,7.2
Back to the Future Part II,1989,626998,7.8
UHF,1989,34616,6.9
Back to the Future Part III,1990,524451,7.5
Flatliners,1990,98852,6.6
Total Recall,1990,383837,7.5
Until the End of the World,1991,12701,6.8
Kafka,1991,11169,6.8
Star Trek VI: The Undiscovered Country,1991,85646,7.3
Terminator 2: Judgment Day,1991,1294712,8.6
Demolition Man,1993,210588,6.7
Jurassic Park,1993,1193159,8.2
Stargate,1994,221030,7.0
Richard III,1995,16440,7.3
Strange Days,1995,86265,7.2
12 Monkeys,1995,682738,8.0
Independence Day,1996,653162,7.0
Contact,1997,316173,7.5
Dark City,1998,227877,7.5
Event Horizon,1997,216686,6.6
Face/Off,1997,430016,7.3
The Fifth Element,1997,549775,7.6
Gattaca,1997,349679,7.7
The Lost World: Jurassic Park,1997,481380,6.6
Nowhere,1997,12547,6.6
Starship Troopers,1997,348962,7.3
Armageddon,1998,482461,6.7
Blade,1998,334026,7.1
Resident Evil,2002,313380,6.6
X-Men,2000,698070,7.3
eXistenZ,1999,114419,6.8
Cube,1997,263172,7.1
Open Your Eyes,1997,76247,7.7
The Matrix,1999,2268552,8.7
The Faculty,1998,148953,6.6
Pitch Black,2000,265455,7.0
The Thirteenth Floor,1999,83675,7.0
Dragon Ball Z: Fusion Reborn,1995,13799,7.6
Dragon Ball Z: Wrath of the Dragon,1995,11031,7.4
Spider-Man,2002,987214,7.4
Galaxy Quest,1999,192853,7.4
Bicentennial Man,1999,135200,6.9
Blade II,2002,254367,6.7
Jin-Roh: The Wolf Brigade,1999,21295,7.3
Children of Men,2006,569895,7.9
2046,2004,64836,7.4
A.I. Artificial Intelligence,2001,341757,7.2
Unbreakable,2000,470249,7.3
The Matrix Reloaded,2003,674763,7.2
Equilibrium,2002,364113,7.3
The Matrix Revolutions,2003,578632,6.7
Donnie Darko,2001,917251,8.0
K-PAX,2001,203720,7.4
Cypher,2002,33304,6.7
Signs,2002,417209,6.8
Pulse,2001,32040,6.6
28 Days Later,2002,553364,7.5
The Butterfly Effect,2004,559031,7.6
X2: X-Men United,2003,615324,7.4
The Chronicles of Riddick,2004,253032,6.6
Spider-Man 2,2004,800828,7.5
Eternal Sunshine of the Spotless Mind,2004,1191720,8.3
"I, Robot",2004,619080,7.1
The Manchurian Candidate,2004,123556,6.6
Jurassic World,2015,735289,6.9
The Hitchhiker's Guide to the Galaxy,2005,218094,6.7
