primaryTitle,startYear,numVotes,averageRating
The Set-Up,1949,11388,7.8
Night and the City,1950,16766,7.8
The Harder They Fall,1956,10440,7.5
Somebody Up There Likes Me,1956,9768,7.5
Rocco and His Brothers,1960,25971,8.2
The Hustler,1961,90341,7.9
The Loneliness of the Long Distance Runner,1962,10063,7.5
Grand Prix,1966,12213,7.2
Fat City,1972,11829,7.2
Hard Times,1975,14579,7.2
Rocky,1976,698060,8.1
Pumping Iron,1977,26827,7.3
Slap Shot,1977,45571,7.2
The Black Stallion,1979,15470,7.4
Breaking Away,1979,27769,7.7
The Champ,1979,9959,6.8
Rocky II,1979,252992,7.3
Caddyshack,1980,134088,7.2
Raging Bull,1980,412740,8.1
Chariots of Fire,1981,71454,7.1
Victory,1981,36187,6.7
Rocky III,1982,231333,6.9
The Natural,1984,58204,7.4
Rocky IV,1985,248241,6.9
Vision Quest,1985,11847,6.7
Back to School,1986,39849,6.7
The Color of Money,1986,102251,7.0
Hoosiers,1986,57638,7.4
Bloodsport,1988,104284,6.8
Bull Durham,1988,63373,7.0
Eight Men Out,1988,24197,7.2
The Big Blue,1988,59170,7.5
Major League,1989,83845,7.3
Gladiator,1992,11929,6.6
A League of Their Own,1992,131809,7.4
The Power of One,1992,11493,7.1
White Men Can't Jump,1992,104324,6.8
Rudy,1993,75251,7.5
Searching for Bobby Fischer,1993,44948,7.3
Above the Rim,1994,18368,6.6
Hoop Dreams,1994,29723,8.3
Happy Gilmore,1996,310990,7.0
Kingpin,1996,97241,6.9
When We Were Kings,1996,19196,7.9
The Boxer,1997,23893,7.0
Children of Heaven,1997,90913,8.2
He Got Game,1998,55134,6.9
For Love of the Game,1999,40546,6.6
"Mystery, Alaska",1999,29780,6.7
Any Given Sunday,1999,131953,6.9
The Legend of Bagger Vance,2000,62670,6.7
Lagaan: Once Upon a Time in India,2001,130223,8.1
The Hurricane,1999,108639,7.6
Finding Forrester,2000,95168,7.3
The Replacements,2000,74911,6.6
Love & Basketball,2000,26898,7.2
Girlfight,2000,10741,6.7
Beyond the Mat,1999,9780,7.6
Ali,2001,110793,6.7
The Rookie,2002,39633,6.9
Poolhall Junkies,2002,11605,6.8
Dogtown and Z-Boys,2001,13873,7.6
Radio,2003,49314,6.9
Seabiscuit,2003,79328,7.3
Lords of Dogtown,2005,61809,7.1
Dodgeball: A True Underdog Story,2004,288452,6.7
Goal! The Dream Begins,2005,69177,6.7
Before the Fall,2004,19790,7.4
Green Street Hooligans,2005,172390,7.4
The Football Factory,2004,35063,6.7
Glory Road,2006,51585,7.2
The Greatest Game Ever Played,2005,36341,7.4
Friday Night Lights,2004,71180,7.2
Coach Carter,2005,194611,7.4
Million Dollar Baby,2004,771121,8.1
Rudo y Cursi,2008,9742,6.8
The World's Fastest Indian,2005,64431,7.7
Talladega Nights: The Ballad of Ricky Bobby,2006,215955,6.6
Resurrecting the Champ,2007,21837,6.7
Dreamer,2005,14843,6.9
Murderball,2005,10816,7.7
Peaceful Warrior,2006,31743,7.2
Invincible,2006,79801,7.0
42,2013,109495,7.5
Iqbal,2005,18483,8.1
The Express,2008,23692,7.2
Rocky Balboa,2006,244923,7.1
Offside,2006,9632,7.3
We Are Marshall,2006,68137,7.1
Hot Rod,2007,99968,6.7
Forever Strong,2008,11592,7.1
Chak De! India,2007,92478,8.1
The Blind Side,2009,390348,7.6
The King of Kong: A Fistful of Quarters,2007,38690,8.0
Shelter,2007,25912,7.6
Pele: Birth of a Legend,2016,23772,7.1
Redbelt,2008,22007,6.7
Never Back Down,2008,112094,6.6
Schumacher,2021,27783,7.4
Tyson,2008,13225,7.4
Arthur the King,2024,40432,7.0
Rashmi Rocket,2021,12817,7.1
Creed III,2023,110044,6.7
The Wrestler,2008,332204,7.9
Bigger Stronger Faster*,2008,14095,7.5
Sarpatta Parambarai,2021,28897,8.4
Whip It,2009,72570,6.9
The Alpinist,2021,17259,7.9
Athlete A,2020,13557,7.6
Moneyball,2011,514722,7.6
Big George Foreman,2023,12928,6.7
The Damned United,2009,48717,7.5
Warrior,2011,532221,8.1
Senna,2010,84091,8.4
Goon,2011,94544,6.8
Champions,2023,36890,6.8
Ghoomer,2023,12878,7.5
Win Win,2011,56392,7.1
Bleed for This,2016,33761,6.8
