primaryTitle,startYear,numVotes,averageRating
The Cabinet of Dr. Caligari,1920,76700,8.0
"Dr. Mabuse, the Gambler",1922,10018,7.8
Our Hospitality,1923,13647,7.7
Battleship Potemkin,1925,65496,7.9
Greed,1924,11655,8.0
M,1931,183896,8.3
The Testament of Dr. Mabuse,1933,14719,7.9
The 39 Steps,1935,66648,7.6
The Petrified Forest,1936,16014,7.5
Sabotage,1936,20899,7.0
The Hound of the Baskervilles,1939,13072,7.4
The Roaring Twenties,1939,17651,7.9
Cat People,1942,28928,7.2
Saboteur,1942,29858,7.1
Arsenic and Old Lace,1944,77923,7.9
The Body Snatcher,1945,11280,7.3
"Rome, Open City",1945,34317,8.0
Black Narcissus,1947,31698,7.7
Dark Passage,1947,24252,7.5
Stage Fright,1950,17861,7.0
When Worlds Collide,1951,10507,6.6
High Noon,1952,117113,7.9
The Naked Spur,1953,14111,7.3
I Confess,1953,25495,7.2
Niagara,1953,22642,7.0
The Wages of Fear,1953,74129,8.1
The War of the Worlds,1953,42110,7.0
On the Waterfront,1954,180208,8.1
Rear Window,1954,572127,8.4
Bob le Flambeur,1956,14353,7.5
Rififi,1955,39596,8.1
The Night of the Hunter,1955,109056,7.9
The Bad Seed,1956,17884,7.4
A Man Escaped,1956,30999,8.1
3:10 to Yuma,1957,24049,7.6
The Curse of Frankenstein,1957,14994,7.0
Elevator to the Gallows,1958,32079,7.9
Vertigo,1958,461361,8.2
"Suddenly, Last Summer",1959,19226,7.4
Peeping Tom,1960,44165,7.6
Purple Noon,1960,24319,7.7
Shoot the Piano Player,1960,21997,7.4
Le Trou,1960,24002,8.5
The Bad Sleep Well,1960,15672,7.9
Le Doulos,1962,13276,7.7
Yojimbo,1961,144199,8.2
Cape Fear,1962,35767,7.7
Dr. No,1962,197281,7.2
The Manchurian Candidate,1962,85110,7.9
Knife in the Water,1962,25310,7.4
Sanjuro,1962,43579,8.0
What Ever Happened to Baby Jane?,1962,68166,8.0
From Russia with Love,1963,160220,7.3
The Great Escape,1963,279242,8.2
Lord of the Flies,1963,22220,6.8
The Trial,1962,27131,7.6
Shock Corridor,1963,14112,7.3
Fail Safe,1964,28239,8.0
Goldfinger,1964,219268,7.7
Onibaba,1964,26044,7.8
Seven Days in May,1964,17817,7.8
Woman in the Dunes,1964,25968,8.4
Bunny Lake Is Missing,1965,11323,7.3
The Collector,1965,13300,7.5
The Ipcress File,1965,19756,7.1
Repulsion,1965,61640,7.5
The Spy Who Came in from the Cold,1965,20876,7.5
Thunderball,1965,138885,6.9
The Train,1964,22119,7.8
Blow-Up,1966,73122,7.4
The Chase,1966,15346,7.1
Cul-de-sac,1966,15051,7.0
The Sword of Doom,1966,13361,7.9
Persona,1966,141657,8.0
Seconds,1966,23944,7.6
The Face of Another,1966,12236,7.8
Torn Curtain,1966,31872,6.6
In the Heat of the Night,1967,92122,7.9
Point Blank,1967,26894,7.2
Le Samouraï,1967,66872,8.0
Wait Until Dark,1967,36766,7.7
You Only Live Twice,1967,128402,6.8
Bullitt,1968,81544,7.4
Ice Station Zebra,1968,13080,6.6
Night of the Living Dead,1968,152048,7.8
Targets,1968,13899,7.3
The Butcher,1970,10499,7.3
Colossus: The Forbin Project,1970,11758,7.1
On Her Majesty's Secret Service,1969,109683,6.7
Z,1969,34285,8.1
Airport,1970,25003,6.6
The Red Circle,1970,32052,7.9
The Cat o' Nine Tails,1971,14459,6.6
Gimme Shelter,1970,13858,7.8
THX 1138,1971,57892,6.6
The Andromeda Strain,1971,44606,7.2
The Beguiled,1971,21254,7.1
Dirty Harry,1971,182262,7.7
Get Carter,1971,39014,7.3
Klute,1971,34183,7.1
Wake in Fright,1971,16554,7.5
Play Misty for Me,1971,35474,6.9
Shaft,1971,23185,6.6
Straw Dogs,1971,68665,7.4
A Cop,1972,12376,7.0
Vanishing Point,1971,32449,7.2
Deliverance,1972,129715,7.6
Frenzy,1972,53686,7.4
The Getaway,1972,37704,7.3
The Mechanic,1972,18322,6.8
Don't Torture a Duckling,1972,12847,7.0
Sleuth,1972,53157,7.9
Charley Varrick,1973,16068,7.5
Coffy,1973,15063,6.8
The Day of the Jackal,1973,53411,7.8
Enter the Dragon,1973,121188,7.6
Live and Let Die,1973,125646,6.7
Mean Streets,1973,129202,7.1
Sisters,1972,23717,6.8
The Wicker Man,1973,106070,7.5
Black Christmas,1974,56676,7.1
Chinatown,1974,378853,8.1
The Conversation,1974,137030,7.7
The Man with the Golden Gun,1974,122756,6.7
The Odessa File,1974,13597,7.0
The Parallax View,1974,25005,7.1
The Taking of Pelham One Two Three,1974,41687,7.6
The Towering Inferno,1974,53308,7.0
The Passenger,1975,29053,7.4
Deep Red,1975,46608,7.5
Three Days of the Condor,1975,69770,7.4
All the President's Men,1976,138849,7.9
Assault on Precinct 13,1976,61526,7.3
The Eagle Has Landed,1976,27512,6.9
The Enforcer,1976,53436,6.7
The Killing of a Chinese Bookie,1976,16560,7.2
The Tenant,1976,51754,7.5
Marathon Man,1976,76209,7.4
Obsession,1976,13573,6.7
3 Women,1977,20080,7.7
High Anxiety,1977,25989,6.6
Rolling Thunder,1977,14734,6.9
Soldier of Orange,1977,13609,7.6
Sorcerer,1977,37363,7.7
The Spy Who Loved Me,1977,126219,7.0
Coma,1978,23115,6.9
Dawn of the Dead,1978,137273,7.8
Don,1978,13565,7.7
The Driver,1978,21886,7.1
Foul Play,1978,19678,6.8
Halloween,1978,341660,7.7
And Justice for All,1979,46315,7.4
The China Syndrome,1979,36092,7.4
The Warriors,1979,120502,7.5
Altered States,1980,42882,6.9
Bad Timing,1980,10435,6.9
The Fog,1980,92481,6.8
Gloria,1980,13306,7.1
Scanners,1981,68208,6.7
Absence of Malice,1981,16700,6.9
Eye of the Needle,1981,14217,7.1
For Your Eyes Only,1981,117277,6.7
Ms .45,1981,15367,6.8
Road Games,1981,11098,6.6
Southern Comfort,1981,23612,7.1
First Blood,1982,304285,7.7
Poltergeist,1982,196336,7.3
