primaryTitle,startYear,numVotes,averageRating
All Quiet on the Western Front,1930,72516,8.1
Things to Come,1936,10260,6.6
Grand Illusion,1937,41283,8.0
Gone with the Wind,1939,357671,8.2
Gunga Din,1939,13671,7.2
The Great Dictator,1940,259689,8.4
Waterloo Bridge,1940,11955,7.7
The 49th Parallel,1941,8581,7.3
Casablanca,1942,659023,8.5
Mrs. Miniver,1942,21477,7.6
Saboteur,1942,29858,7.1
To Be or Not to Be,1942,50201,8.1
The Life and Death of Colonel Blimp,1943,18392,8.0
Sahara,1943,11122,7.5
The Best Years of Our Lives,1946,76851,8.1
Lifeboat,1944,33972,7.6
The Miracle of Morgan's Creek,1943,8445,7.5
They Were Expendable,1945,10332,7.2
Paisan,1946,10806,7.6
"Rome, Open City",1945,34317,8.0
Macbeth,1948,8535,7.4
I Was a Male War Bride,1949,9913,7.0
Twelve O'Clock High,1949,15805,7.7
Forbidden Games,1952,14285,8.0
From Here to Eternity,1953,54700,7.6
Hondo,1953,14140,7.0
Stalag 17,1953,60416,7.9
Ugetsu,1953,28482,8.1
The Caine Mutiny,1954,31219,7.7
The Dam Busters,1955,12378,7.4
Senso,1954,10130,7.4
Mister Roberts,1955,19788,7.6
The Unknown Soldier,1955,8188,8.0
A Man Escaped,1956,30999,8.1
War and Peace,1956,11855,6.7
The Bridge on the River Kwai,1957,249982,8.1
"Heaven Knows, Mr. Allison",1957,10532,7.3
Kanal,1957,8921,7.9
The Cranes Are Flying,1957,22889,8.3
Paths of Glory,1957,241784,8.4
Ashes and Diamonds,1958,15146,7.7
Run Silent Run Deep,1958,14915,7.3
The Young Lions,1958,9664,7.1
Ballad of a Soldier,1959,12391,8.2
The Bridge,1959,9396,7.9
The Human Condition I: No Greater Love,1959,11559,8.5
The Human Condition II: Road to Eternity,1959,9247,8.5
Operation Petticoat,1959,17785,7.2
Exodus,1960,12957,6.7
Mughal-E-Azam,1960,9695,8.1
The Little Soldier,1963,8831,7.1
Two Women,1960,13900,7.7
Judgment at Nuremberg,1961,97922,8.3
The Human Condition III: A Soldier's Prayer,1961,9012,8.8
Hell Is for Heroes,1962,8170,6.9
How the West Was Won,1962,25743,7.1
Ivan's Childhood,1962,43843,8.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,553184,8.3
The Fall of the Roman Empire,1964,11387,6.7
Zulu,1964,46645,7.7
The Battle of Algiers,1966,76621,8.1
Battle of the Bulge,1965,19257,6.8
Doctor Zhivago,1965,87811,7.9
The Hill,1965,16593,7.8
In Harm's Way,1965,11556,7.3
Major Dundee,1965,9644,6.7
The Shop on Main Street,1965,10542,8.2
Shenandoah,1965,10585,7.3
The Train,1964,22119,7.8
Von Ryan's Express,1965,16298,7.1
The War Game,1966,8224,7.9
Don't Look Now... We're Being Shot At!,1966,22604,7.9
The Russians Are Coming the Russians Are Coming,1966,11294,7.0
The Dirty Dozen,1967,84581,7.7
