primaryTitle,startYear,numVotes,averageRating
Greed,1924,11655,8.0
Destry Rides Again,1939,13608,7.6
Stagecoach,1939,59418,7.8
The Ox-Bow Incident,1943,27430,8.0
Duel in the Sun,1946,10562,6.7
My Darling Clementine,1946,28761,7.7
3 Godfathers,1948,11727,7.0
Fort Apache,1948,21549,7.4
Red River,1948,38289,7.7
The Treasure of the Sierra Madre,1948,142326,8.2
She Wore a Yellow Ribbon,1949,20957,7.2
Broken Arrow,1950,10891,7.1
The Gunfighter,1950,14528,7.7
Rio Grande,1950,19554,7.0
Winchester '73,1950,23324,7.6
High Noon,1952,117113,7.9
The Naked Spur,1953,14111,7.3
Shane,1953,48119,7.6
Johnny Guitar,1954,21759,7.6
Vera Cruz,1954,13124,7.0
The Man from Laramie,1955,13308,7.3
Giant,1956,44280,7.6
The Searchers,1956,103408,7.8
Gunfight at the O.K. Corral,1957,19044,7.1
The Big Country,1958,24649,7.9
Man of the West,1958,10913,7.0
Rio Bravo,1959,74187,7.9
The Comancheros,1961,10972,6.8
The Misfits,1961,24758,7.2
One-Eyed Jacks,1961,15317,7.1
Lonely Are the Brave,1962,11097,7.5
The Man Who Shot Liberty Valance,1962,89434,8.1
Ride the High Country,1962,16390,7.4
Hud,1963,26219,7.8
McLintock!,1963,18471,7.1
A Fistful of Dollars,1964,255731,7.9
Cat Ballou,1965,17584,6.7
For a Few Dollars More,1965,302707,8.2
Shenandoah,1965,10585,7.3
The Sons of Katie Elder,1965,19786,7.1
"The Good, the Bad and the Ugly",1966,897240,8.8
Django,1966,34486,7.2
El Dorado,1966,33762,7.5
Hang 'Em High,1968,48783,7.0
Hombre,1967,15971,7.4
The War Wagon,1967,12121,6.8
The Great Silence,1968,20724,7.7
Once Upon a Time in the West,1968,386640,8.5
Death Rides a Horse,1967,11007,7.0
Paint Your Wagon,1969,16295,6.6
Support Your Local Sheriff!,1969,14693,7.4
True Grit,1969,54387,7.4
Chisum,1970,12083,6.9
A Man Called Horse,1970,10295,6.8
Rio Lobo,1970,15367,6.7
Big Jake,1971,16063,7.1
"Duck, You Sucker!",1971,40548,7.5
They Call Me Trinity,1970,28655,7.4
McCabe & Mrs. Miller,1971,30646,7.6
Red Sun,1971,12864,6.8
El Topo,1970,33524,7.2
Trinity Is Still My Name,1971,19468,7.2
The Cowboys,1972,17559,7.4
High Plains Drifter,1973,73910,7.4
Jeremiah Johnson,1972,40000,7.6
My Name Is Nobody,1973,31165,7.3
Pat Garrett & Billy the Kid,1973,23416,7.2
Blazing Saddles,1974,166131,7.7
Breakheart Pass,1975,10461,6.7
Rooster Cogburn,1975,14551,6.8
The Outlaw Josey Wales,1976,87580,7.8
The Shootist,1976,29586,7.6
Heaven's Gate,1980,19288,6.7
Pale Rider,1985,71470,7.3
Silverado,1985,54631,7.2
Young Guns,1988,74470,6.8
Dances with Wolves,1990,312244,8.0
City Slickers,1991,67708,6.8
Of Mice and Men,1992,51660,7.4
Unforgiven,1992,471266,8.2
Geronimo: An American Legend,1993,15490,6.6
Dead Man,1995,109670,7.5
Lone Star,1996,36110,7.4
The Horse Whisperer,1998,46880,6.7
Manitou's Shoe,2001,23336,6.7
The Proposition,2005,58264,7.3
The Power of the Dog,2021,244375,6.8
The Harder They Fall,2021,78313,6.6
Redeeming Love,2022,20920,6.8
Old Henry,2021,48118,7.3
True Grit,2010,378483,7.6
The Revenant,2015,957756,8.0
Horizon: An American Saga - Chapter 1,2024,46024,6.6
Django Unchained,2012,1904694,8.5
Brimstone,2016,49697,7.0
The Homesman,2014,38776,6.6
Bone Tomahawk,2015,141707,7.1
The Dark Valley,2014,15339,7.1
Eddington,2025,63997,6.6
The Sisters Brothers,2018,75791,6.9
Hostiles,2017,108422,7.2
Lucky,2017,28680,7.3
The Rider,2017,22300,7.4
First Cow,2019,24766,7.1
