averageRating,numVotes,primaryTitle,startYear,genres
7.1,4225,Dante's Inferno,1911,"Adventure,Drama,Fantasy"
6.9,2746,Fantômas: In the Shadow of the Guillotine,1913,"Crime,Drama"
7.0,1623,Ingeborg Holm,1913,Drama
6.9,1864,Fantomas: The Man in Black,1913,"Crime,Drama"
7.1,4381,Cabiria,1914,"Adventure,Drama,History"
6.8,1579,Fantomas: The Mysterious Finger Print,1914,"Crime,Drama"
6.8,1579,The Regeneration,1915,"Biography,Crime,Drama"
7.3,5896,Les Vampires,1915,"Action,Adventure,Crime"
7.6,18102,Intolerance,1916,"Drama,History"
6.7,1682,The Poor Little Rich Girl,1917,"Comedy,Drama,Family"
7.3,2613,A Man There Was,1917,"Drama,War"
7.2,2341,The Outlaw and His Wife,1918,Drama
6.9,1746,Stella Maris,1918,Drama
7.0,1740,Different from the Others,1919,"Crime,Drama,History"
7.2,2425,The Oyster Princess,1919,Comedy
6.9,1823,Blind Husbands,1919,"Drama,Romance"
7.2,11828,Broken Blossoms,1919,"Drama,Romance"
6.6,1522,Daddy-Long-Legs,1919,"Comedy,Drama,Musical"
7.1,1708,Sir Arne's Treasure,1919,"Drama,History"
6.8,1846,I Don't Want to Be a Man,1918,"Comedy,Romance"
7.7,2461,J'accuse!,1919,"Drama,Horror,War"
8.0,76700,The Cabinet of Dr. Caligari,1920,"Horror,Mystery,Thriller"
7.0,2084,Male and Female,1919,"Adventure,Drama"
7.4,2712,The Doll,1919,"Comedy,Fantasy,Romance"
6.9,2158,True Heart Susie,1919,"Comedy,Drama,Romance"
6.9,6715,Dr. Jekyll and Mr. Hyde,1920,"Drama,Horror,Sci-Fi"
7.2,9604,The Golem,1920,"Fantasy,Horror"
6.6,1590,The Last of the Mohicans,1920,"Action,Adventure,Drama"
7.0,3116,The Mark of Zorro,1920,"Adventure,Drama,Romance"
7.3,2871,The Penalty,1920,"Crime,Drama,Horror"
7.1,1668,The Parson's Widow,1920,"Comedy,Drama"
7.3,6349,Way Down East,1920,"Drama,Romance"
6.7,1564,Why Change Your Wife?,1920,"Comedy,Drama"
6.8,1519,The Wildcat,1921,"Comedy,Drama,Romance"
7.1,3845,The Four Horsemen of the Apocalypse,1921,"Drama,Romance,War"
8.2,146663,The Kid,1921,"Comedy,Drama,Family"
8.0,15938,The Phantom Carriage,1921,"Drama,Fantasy,Horror"
7.6,7406,Destiny,1921,"Drama,Fantasy,Horror"
7.3,5788,Orphans of the Storm,1921,"Drama,History,Romance"
7.1,2040,Tol'able David,1921,Drama
6.7,2476,Beyond the Rocks,1922,"Drama,Romance"
7.1,1820,Dr. Jack,1922,"Comedy,Romance"
7.8,10018,"Dr. Mabuse, the Gambler",1922,"Crime,Mystery,Thriller"
7.0,4373,Foolish Wives,1922,"Drama,Thriller"
7.0,2214,Grandma's Boy,1922,"Comedy,Family"
7.6,19432,Häxan,1922,"Documentary,Fantasy,Horror"
7.6,14489,Nanook of the North,1922,Documentary
7.8,124073,Nosferatu,1922,"Fantasy,Horror"
6.7,2108,Phantom,1922,"Drama,Romance"
7.0,2726,Robin Hood,1922,"Adventure,Family,Romance"
7.4,1600,The Faithful Heart,1923,"Drama,Romance"
7.0,1556,The Saga of Gösta Berling,1924,"Drama,Romance"
7.2,6884,The Hunchback of Notre Dame,1923,"Drama,Horror,Romance"
7.7,13647,Our Hospitality,1923,"Comedy,Romance,Thriller"
7.2,6269,The Pilgrim,1923,"Comedy,Western"
7.4,2829,The Wheel,1923,Drama
8.1,25065,Safety Last!,1923,"Action,Comedy,Romance"
6.8,2997,The Ten Commandments,1923,"Biography,Drama,History"
7.0,5816,Three Ages,1923,Comedy
6.6,2619,Waxworks,1924,"Fantasy,Horror"
7.3,2282,Why Worry?,1923,"Adventure,Comedy,Family"
6.9,7021,A Woman of Paris: A Drama of Fate,1923,"Drama,Romance"
7.6,3980,Girl Shy,1924,"Comedy,Romance"
7.7,4935,He Who Gets Slapped,1924,"Drama,Horror,Romance"
7.1,1743,Hot Water,1924,Comedy
7.2,2774,The Iron Horse,1924,"Drama,History,Romance"
8.0,16641,The Last Laugh,1924,Drama
7.0,1662,The Marriage Circle,1924,Comedy
7.1,2262,Michael,1924,"Drama,Romance"
7.5,12159,The Navigator,1924,"Action,Adventure,Comedy"
7.9,5645,Die Nibelungen: Kriemhild's Revenge,1924,"Adventure,Drama,Fantasy"
8.1,7363,Die Nibelungen: Siegfried,1924,"Adventure,Drama,Fantasy"
7.0,3893,The Hands of Orlac,1924,"Crime,Horror,Mystery"
7.1,2159,Paris Asleep,1925,"Comedy,Sci-Fi"
7.1,1502,Peter Pan,1924,"Adventure,Family,Fantasy"
8.1,66649,Sherlock Jr.,1924,"Action,Comedy,Romance"
7.6,9583,Strike,1925,Drama
7.7,7763,The Thief of Bagdad,1924,"Adventure,Family,Fantasy"
7.8,7820,The Adventures of Prince Achmed,1926,"Adventure,Animation,Drama"
7.9,7894,The Big Parade,1925,"Drama,Romance,War"
7.9,65496,Battleship Potemkin,1925,"Drama,History,Thriller"
7.0,2682,Master of the House,1925,"Comedy,Drama"
6.6,2523,The Eagle,1925,"Action,Adventure,Comedy"
7.5,6658,The Freshman,1925,"Comedy,Family,Romance"
7.0,1902,The Joyless Street,1925,Drama
7.1,5677,Go West,1925,"Comedy,Western"
8.1,128824,The Gold Rush,1925,"Adventure,Comedy,Drama"
8.0,11655,Greed,1924,"Drama,Thriller,Western"
7.2,1580,Lady Windermere's Fan,1925,Comedy
7.0,2093,The Little Colonel,1935,"Comedy,Family,Musical"
7.0,6674,The Lost World,1925,"Adventure,Fantasy,Horror"
7.2,2743,The Merry Widow,1925,"Drama,Romance"
7.5,22407,The Phantom of the Opera,1925,"Horror,Music"
7.8,13348,Seven Chances,1925,"Comedy,Romance"
7.1,2521,The Unholy Three,1925,"Crime,Drama,Romance"
7.4,1581,Variety,1925,"Crime,Drama,Romance"
7.0,4523,Battling Butler,1926,"Comedy,Romance,Sport"
7.8,8437,Ben-Hur: A Tale of the Christ,1925,"Action,Adventure,Drama"
7.0,2414,The Black Pirate,1926,"Action,Adventure"
7.2,1777,La Bohème,1926,"Drama,Romance"
8.1,18523,Faust,1926,"Drama,Fantasy,Horror"
7.6,4968,Flesh and the Devil,1926,"Drama,Romance"
7.5,2184,For Heaven's Sake,1926,"Action,Comedy,Romance"
7.3,5472,A Page of Madness,1926,"Drama,Horror,Thriller"
7.3,15229,The Lodger: A Story of the London Fog,1927,"Crime,Drama,Mystery"
7.4,3338,Mother,1926,Drama
8.2,202490,Metropolis,1927,"Drama,Sci-Fi"
7.6,2162,The Scarlet Letter,1926,Drama
7.3,1673,Sparrows,1926,Drama
7.1,2964,Tartuffe,1925,"Comedy,Drama"
7.5,1739,3 Bad Men,1926,"Drama,Romance,Western"
6.6,2037,West Point,1927,"Drama,Romance,Sport"
7.6,5204,Berlin: Symphony of Metropolis,1927,Documentary
7.1,3844,The Cat and the Canary,1927,"Comedy,Horror,Mystery"
6.9,5892,College,1927,"Comedy,Drama,Sport"
8.1,105789,The General,1926,"Action,Adventure,Comedy"
7.2,4020,It,1927,"Comedy,Romance"
7.6,5312,The Kid Brother,1927,"Comedy,Drama,Family"
7.3,2717,The King of Kings,1927,"Biography,Drama,Family"
7.3,1995,The End of St. Petersburg,1927,Drama
6.7,1588,London After Midnight,1927,"Horror,Mystery,Thriller"
8.2,9839,Napoleon,1927,"Biography,Drama,History"
7.4,9063,October (Ten Days that Shook the World),1928,"Drama,History"
6.8,1576,The Red Mill,1927,"Comedy,Romance"
7.5,4726,7th Heaven,1927,"Drama,Romance"
7.5,1844,The Student Prince in Old Heidelberg,1927,"Drama,Romance"
8.1,56977,Sunrise,1927,"Drama,Romance"
7.1,1712,Tell It to the Marines,1926,"Comedy,Drama,Romance"
7.5,3939,Underworld,1927,"Crime,Drama,Film-Noir"
7.7,10371,The Unknown,1927,"Drama,Horror,Romance"
7.5,16474,Wings,1927,"Action,Drama,Romance"
7.4,1555,Beggars of Life,1928,"Adventure,Crime,Drama"
7.7,13014,Pandora's Box,1929,"Crime,Drama,Romance"
8.0,14705,The Cameraman,1928,"Comedy,Drama,Family"
7.2,5094,The Fall of the House of Usher,1928,"Drama,Fantasy,Horror"
8.1,38800,The Circus,1928,"Comedy,Family,Romance"
8.0,10096,The Crowd,1928,"Drama,Romance"
7.5,5552,The Docks of New York,1928,"Crime,Drama,Film-Noir"
7.9,5121,The Last Command,1928,"Drama,Romance,War"
7.5,2302,"Laugh, Clown, Laugh",1928,"Drama,Romance"
7.7,2987,Lonesome,1928,"Comedy,Drama,Romance"
7.6,9306,The Man Who Laughs,1928,"Drama,Horror,Mystery"
7.2,1548,The Mysterious Lady,1928,"Drama,Romance,Thriller"
6.7,2215,Our Dancing Daughters,1928,Drama
8.1,68958,The Passion of Joan of Arc,1928,"Biography,Drama,History"
7.4,2914,The Patsy,1928,"Comedy,Drama,Romance"
6.9,2515,Storm Over Asia,1928,"Drama,War"
7.2,3015,Sadie Thompson,1928,Drama
7.6,4270,Show People,1928,"Comedy,Romance"
7.6,4847,Speedy,1928,"Action,Comedy,Family"
7.5,4372,Spies,1928,"Romance,Thriller"
7.8,17697,"Steamboat Bill, Jr.",1928,"Action,Comedy,Drama"
7.2,2820,Street Angel,1928,Drama
7.3,2050,The Wedding March,1928,"Drama,Romance"
7.2,2134,West of Zanzibar,1928,"Drama,Horror,Mystery"
8.0,7871,The Wind,1928,"Drama,Romance,Thriller"
7.1,1865,A Woman of Affairs,1928,Drama
